"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02"
"Los Angeles","CA","Los Angeles","06","037",1.5173,1.7486,1.6897,1.544,1.3121,1.073,1.0104,1.0049,1.0061,1.1288,1.2746,1.309,1.4074,1.4666,1.4994,1.5088,1.3388,1.2893,1.2343,1.3532,1.3758,1.4428,1.5127,1.9002,1.872,1.8676,1.5646,1.4849,1.4504,1.358,1.2182,1.1532,1.0381,1.057,1.1602,1.2416,1.2592,1.4458,1.4879,1.3253,1.1339,1.0599,1.0997,1.1214,1.0869,1.1885,1.2551,1.2977,1.3321,1.4189,1.3653,1.2914,1.153,1.1319,1.111,1.1112,1.203,1.1395,1.1515,1.254,1.284,1.161,1.131,1.08,0.9922,0.97,0.9554,0.9325,0.8799,0.9402,0.9201,0.896,0.9139,0.9794,1.0726,0.9666,0.8629,0.7764,0.7589,0.7672,0.7507,0.8545,0.8196,0.8039,0.8076,0.8642,0.8691,0.8184,0.758,0.733,0.6976,0.6773,0.6164,0.67,0.7786,0.876,2.6094,4.1335,5.4744,6.5474,5.9777,3.5833,2.0386,1.6885,1.6985,1.7566,1.9495,2.0928,2.4093,2.7642,2.7518,2.9965,3.1944,3.5502,3.768,4.186,4.641,5.2809,5.7719,6.5846,7.5233,9.0671,10.5518,11.3553,12.7168,13.7407,14.9083,15.2779,16.89,18.6812,20.4373,21.5702,23.8365,25.2194,24.5764,25.4457,25.4972,24.0284,22.3624,22.3601,21.68,23.1154,23.6814,24.2248,25.8693,27.0827,27.72,28.2651,27.7213,27.4455,27.0824,27.7193,26.514,25.4697,25.8541,26.4089,28.8203,30.3503,31.0835,28.7194,28.6187,28.5977,27.1827,26.9798,27.9952,29.8523,30.3881,31.6378,32.6617,32.8609,32.6141,30.5248,28.9625,28.0029,27.9198,27.5275,27.617,27.9305,27.3848,26.6232,25.9036,24.7568,23.245,21.4762,19.9901,18.0711,16.6849,15.3185,14.6775,14.0722,13.8687,14.2685,13.9667,13.7128
"Cook","IL","Chicago","17","031",0.5894,0.7899,0.9345,0.8894,0.7357,0.6979,0.8541,0.8723,0.8123,0.8992,0.9085,0.9842,1.3457,1.3452,1.3974,1.3716,1.377,1.3418,1.2882,1.2579,1.4069,1.5249,1.6054,1.7503,1.8376,1.6591,1.8171,1.9583,1.911,1.8408,1.6432,1.6075,1.5223,1.7924,1.8674,1.9151,2.2328,2.5437,2.4278,2.3874,2.1212,1.9472,1.9103,1.8191,2.0224,2.0809,2.0659,2.1383,2.423,2.6131,2.8372,2.7224,2.4556,2.222,2.0092,1.9938,2.2978,2.364,2.472,2.4677,2.5297,3.2029,3.5118,3.5445,3.3112,2.7877,2.8315,2.8433,2.6477,2.5461,2.8745,3.0176,3.1086,3.236,3.3473,3.0609,2.8457,2.8082,2.6988,2.6006,2.4974,2.5797,2.7766,2.8413,2.9843,3.1481,3.117,3.1774,2.8284,2.6295,2.5804,2.4984,2.4293,2.6315,2.9455,3.4482,3.3142,3.3217,3.4804,3.2406,3.0791,3.0919,3.1188,3.1308,3.3716,3.6853,3.8663,4.1855,4.5193,5.2521,5.6837,5.8061,5.8244,5.7431,5.764,6.0177,6.834,7.8676,9.1655,10.6732,13.0369,15.2518,16.4344,16.6492,17.0006,16.9919,17.0586,18.0729,19.6716,22.0505,26.0901,29.1918,33.7675,38.1926,39.8028,40.5254,39.9116,38.3959,35.7877,34.2961,35.0505,35.2995,35.8926,35.1882,38.0806,40.7262,42.8129,40.3625,37.8848,35.4315,34.9696,36.9059,39.0432,40.7342,40.1339,41.0017,44.7626,48.884,51.1489,50.2982,48.8315,47.0417,44.9814,45.0485,47.0071,47.5699,48.7603,49.0685,48.5146,49.2668,50.7174,49.7325,48.5353,47.8651,47.6097,47.8908,47.9655,49.4502,49.7458,48.8589,46.7981,47.8226,47.7406,46.858,43.9112,42.0122,40.3173,39.6934,39.1761,38.7537,38.4532,37.7844,38.2628,38.0538
"Maricopa","AZ","Phoenix","04","013",1.3705,1.5281,1.3416,1.422,1.3734,1.41970000000001,1.3896,1.3946,1.3162,1.4305,1.5726,1.482,1.444,1.4305,1.376,1.4148,1.3265,1.3709,1.3161,1.3237,1.4204,1.2373,1.3851,1.5352,1.6005,1.6917,1.632,1.6168,1.7208,1.8241,1.8182,1.7007,1.7153,1.8369,2.1017,2.3376,2.431,2.6064,2.6516,2.5603,2.3839,2.1018,1.9323,2.0571,2.1246,2.3128,2.3613,2.495,2.7389,2.7896,2.7756,2.8863,2.76,2.5765,2.3559,2.5699,2.7353,2.8098,2.66459999999999,2.6289,2.843,5.86,9.4564,11.253,10.4219,6.0522,3.3026,2.3498,2.2659,2.37,2.4093,2.4531,2.5592,2.4408,2.4976,2.4055,2.2653,2.1111,1.9157,1.8455,1.7147,1.6527,1.5561,1.5656,1.5355,1.3687,1.2581,1.1544,0.9802,0.8944,0.9411,0.9052,0.8522,0.7764,0.8882,0.9612,1.1157,1.1705,1.09,1.1326,1.1478,1.1795,1.2211,1.3778,1.459,1.6927,1.8839,2.2481,2.8072,2.8888,2.8691,3.1865,3.5823,3.9285,4.1606,4.3884,4.9706,5.4939,6.2242,6.8058,7.5884,8.5538,9.7944,11.4703,13.8633,15.4588,15.3847,15.9803,16.8706,18.0596,20.1761,21.5056,22.6496,24.4934,26.6035,27.8048,27.9574,28.6546,30.0374,32.6226,34.0783,33.7474,32.4537,34.7768,38.4893,39.3539,38.6738,38.339,38.3504,38.9792,41.5896,43.2528,43.9241,43.4475,42.7823,42.1781,45.0295,47.6521,47.9417,46.928,45.727,46.1745,47.2917,48.992,54.6602,54.991,53.4588,52.6996,52.6104,50.6361,47.1808,44.3726,43.3842,42.1977,40.5405,42.2957,42.0761,41.6892,37.1418,33.7943,31.7862,30.5457,28.9208,27.8742,26.5258,24.4978,22.9817,22.0191,20.6202,19.9965,19.3438,19.6244,20.1689,18.9422
"San Diego","CA","San Diego","06","073",1.1896,1.1552,1.147,0.9828,0.850099999999998,0.7208,0.8,0.8089,0.8506,0.8928,1.1028,1.3153,1.1054,1.0369,0.9431,1.0921,1.0036,0.8951,0.7362,0.8445,1.0032,1.0592,0.9125,1.0414,1.0055,0.9784,0.8848,0.9054,0.963,1.0506,0.9448,0.8701,0.8403,0.8474,0.9574,1.1272,1.162,1.2029,1.0506,0.889,0.8938,0.8193,0.8477,0.9184,1.0198,1.0403,1.3969,1.7403,1.6491,1.4226,1.1568,1.1814,1.234,1.0954,1.09,1.0066,1.1291,0.987399999999994,0.9348,1.1006,1.2248,1.2732,1.1913,1.0774,1.021,1.0523,1.0165,1.2558,1.3464,1.1722,1.0661,0.9955,1.0653,0.9581,0.9634,0.9209,0.8935,1.0248,0.944,1.0256,1.1231,1.3138,1.3411,1.2742,1.4129,1.5412,1.2113,1.0858,0.9527,1.031,1.1342,1.31870000000001,1.3506,1.3716,1.4472,1.767,2.128,1.8282,1.8845,1.9909,2.3333,3.5847,4.8468,5.8224,6.2088,6.385,6.2794,6.8666,7.5969,7.9008,7.7886,8.5819,9.4315,10.3693,10.6922,10.8996,10.853,10.0542,10.7891,11.1257,14.7868,17.1856,20.0735,20.7543,24.065,23.1268,24.1291,24.609,27.3776,27.476,30.17,31.7727,34.8582,36.3363,37.2162,36.2601,34.8737,34.3087,34.9095,35.1659,33.9283,34.4301,33.1748,34.0762,37.3187,38.8203,38.2186,36.9012,35.8016,35.7453,36.1856,36.7705,36.4017,35.7377,34.3277,34.5562,39.5575,40.7738,39.4592,37.6229,36.8791,36.0883,35.3214,36.3287,38.2347,39.6006,38.7618,40.7698,43.024,43.9941,42.5806,40.842,38.3908,37.1056,36.9565,37.3767,37.8036,37.206,36.6271,36.875,36.1387,34.6417,30.238,27.0694,25.1201,23.4608,21.4473,20.0247,19.5376,19.7066,18.8124,19.3536,18.9419,16.9663
"Orange","CA","Los Angeles","06","059",1.5585,1.3977,0.902,0.6666,0.6256,0.6398,0.6666,0.7364,0.7249,0.7985,0.784,1.0391,0.901200000000003,0.5401,0.5986,0.6712,0.7014,0.6572,0.7143,0.7905,0.796,0.8119,0.7642,0.9562,1.0907,1.1134,0.9429,0.7237,0.7072,0.713499999999996,0.6917,0.7325,0.6469,0.6688,0.6933,0.816,0.9215,0.8612,0.7875,0.7577,0.751,0.7134,0.6812,0.6233,0.6575,0.8205,0.9782,0.877,1.0585,0.9787,0.9638,0.806299999999993,0.79,0.7089,0.6877,0.7764,0.7409,0.7643,0.7206,0.7631,0.7797,0.8173,0.7319,0.7251,0.6586,0.5697,0.5625,0.5491,0.5257,0.6871,0.7446,0.6624,0.609,0.5447,0.692,0.7066,0.5793,0.5501,0.6838,0.6619,0.5685,0.5825,0.6412,0.5841,0.531,0.6972,0.7599,0.7123,0.7055,0.6083,0.5711,0.4641,0.4535,0.5286,0.6838,0.7304,0.7152,0.6906,0.7389,0.6707,0.609,0.6932,1.0331,1.149,1.3164,1.6147,2.0495,2.2264,2.2458,2.3605,2.4341,2.5504,2.8315,3.0231,3.4393,3.5752,3.5599,4.4513,5.3315,5.7191,7.4523,8.5958,9.0712,9.3358,9.7313,10.2573,10.4555,11.0464,11.6566,12.8262,12.272,13.4178,15.102,16.8909,16.6249,16.5072,15.4431,14.6489,14.2939,14.2785,14.4088,14.2748,13.7509,14.1069,15.7344,17.6509,17.6698,16.7137,14.8908,14.8787,14.3747,14.7587,14.7868,14.7317,14.2098,14.4248,15.6854,16.8469,16.1684,16.4323,16.6165,16.4022,15.9855,16.375,34.0035,33.996,35.2698,36.2582,36.6895,38.0925,37.6003,37.0852,35.8392,34.1945,32.1488,31.7105,31.1116,30.5354,29.6358,29.8665,29.2831,28.0328,25.5504,22.4333,20.0569,17.9948,17.1837,16.5669,15.567,14.6254,14.7311,14.5811,14.3239,13.3618
"Kings","NY","New York","36","047",0.92,1.4161,1.0478,1.0108,1.2342,1.4939,2.3413,2.7987,2.2558,1.6909,2.0409,1.598,1.3,0.5465,1.0112,1.5898,1.2663,1.91849999999999,2.8272,2.9297,1.8055,2.1903,2.2598,2.0404,2.0963,2.5367,2.041,1.9102,2.542,4.5139,3.3618,1.9078,1.675,2.5569,2.6496,1.8564,1.7247,0.857,1.7486,1.4878,,,,,,,2.5641,,,,,,,,,,,,,,,,,,5.5046,3.0305,1.659,1.2933,1.4603,2.9583,2.3002,1.9217,1.5656,1.8762,1.9406,2.4311,2.2858,1.3735,1.365,1.719,1.8412,1.7292,1.9914,1.9429,1.9766,1.7129,1.333,1.3921,1.7272,2.5072,2.3233,1.5613,1.937,2.485,2.103,2.028,2.1867,2.4302,2.3153,2.4903,2.5825,2.6131,2.5219,2.1685,2.2165,2.0445,3.1387,3.6722,4.5236,3.6308,2.8854,3.2169,2.9062,3.1066,2.5097,2.2919,1.5232,1.4776,2.2051,2.2569,2.7195,3.024,3.1619,3.2239,3.7477,3.0576,3.0907,3.3893,3.2943,3.6987,4.0662,4.7853,4.5888,7.813,8.575,9.74809999999999,8.7165,7.2747,6.856,7.54,7.7734,7.919,7.1797,8.2599,9.2279,9.3349,8.5396,9.1747,8.3164,7.063,6.5733,9.0126,9.2083,7.9534,6.4322,7.2239,8.3867,8.9533,8.4311,8.4467,7.9842,8.7857,8.6348,9.4462,9.5644,10.2578,9.5999,10.2447,12.0914,13.2256,14.632,14.6074,13.2451,11.3606,10.7861,11.8163,11.4855,11.5335,11.7997,12.4238,13.7188,13.9766,13.5337,12.9498,11.0447,9.3967,7.8943,8.4518,8.9093,8.969,8.6219,7.6651,8.0586,8.4508
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",2.3229,2.5636,2.5524,2.6152,2.5844,2.7436,2.6809,2.7359,2.9539,3.1643,3.5735,3.6625,3.8576,4.4226,4.4993,4.6016,4.6286,4.7429,4.6478,4.9351,5.2349,5.4802,5.6672,5.7719,6.2682,6.8013,6.481,6.5312,6.495,6.4804,6.3032,5.9777,6.044,6.1188,6.3748,6.0903,6.8862,6.6845,8.5102,7.773,6.487,5.5819,5.1949,4.7587,4.8772,5.1978,5.6384,5.9883,5.4747,5.0147,4.47,4.2806,4.3556,4.2408,4.5434,4.7441,4.5172,4.3317,3.7308,4.3623,5.0388,5.6532,5.2134,5.2255,5.2868,5.3888,5.3489,5.1878,5.0339,5.3848,5.2206,4.5482,4.8644,5.5774,5.4702,5.0353,4.4658,4.4119,4.3705,4.432,4.3464,4.4339,5.0491,4.9825,5.5158,5.901,5.5137,5.3763,5.505,5.3029,5.1257,4.9748,5.1569,5.2114,5.0009,5.0074,5.2732,5.4942,5.1629,5.0597,4.617,4.6333,4.3823,4.6466,4.8135,4.6391,4.599,4.9478,5.3383,5.8608,5.9265,6.2619,6.8604,7.239,7.7091,7.9569,9.3746,10.3699,10.8571,12.2151,13.849,15.0308,16.0313,17.9934,20.9336,22.3176,21.8432,27.1432,31.6088,37.0158,39.8218,41.6311,47.2409,52.7005,53.867,54.6161,54.6332,52.6496,51.0076,49.3824,48.2198,48.4434,43.8599,43.8896,47.2765,49.4416,47.8636,46.1897,45.6245,45.0328,42.485,42.4827,43.92,45.4377,44.127,38.9456,37.8281,41.0112,43.9766,43.7431,40.9545,40.7863,39.0156,41.8703,43.0206,44.796,44.7082,44.823,45.1735,45.6663,44.4937,41.6044,39.7282,39.0024,38.5986,38.8529,39.2813,39.5947,38.3432,35.8119,35.64,33.9358,33.3772,31.5469,30.631,29.7582,28.343,27.4266,25.8707,24.7637,22.2016,23.664,23.8483,22.7451
"Dallas","TX","Dallas-Fort Worth","48","113",2.1889,2.49809999999999,2.3593,2.3841,2.262,2.4097,2.4842,2.86,2.8835,3.0862,3.038,2.983,3.1336,3.0246,3.335,3.4069,3.3842,3.6602,3.9366,4.0712,3.9311,4.4795,5.131,5.1316,5.9086,6.2303,6.4998,6.9015,7.0485,7.3576,6.9427,6.5617,6.361,6.9151,6.6021,6.9524,7.5516,8.2143,8.3748,8.5941,9.1368,8.6678,8.8319,8.6571,9.0976,8.9892,9.3142,9.9561,10.62,11.4654,10.9298,9.7844,9.8895,9.5735,9.4455,9.9814,10.2951,10.3193,10.2337,9.8479,9.6437,10.1566,10.0691,10.2278,10.1298,10.1274,10.3261,10.7681,10.9465,10.3066,10.6238,10.6553,8.819,7.6167,6.7246,6.9106,7.05,7.4923,7.3772,7.489,7.4167,7.1697,7.1276,7.2072,7.1943,7.5602,7.3973,6.9404,6.7598,6.3936,7.3978,8.1199,8.1515,7.9465,8.0369,8.242,7.928,7.709,8.0172,8.9273,8.1844,8.2951,7.768,7.3535,7.4025,7.4593,7.2105,7.6798,7.9928,8.664,8.7436,8.9198,8.8627,8.9464,8.9616,8.5049,8.31189999999999,8.7016,9.2274,9.6123,12.2752,14.0877,14.6388,15.163,14.9002,14.9914,15.6223,15.6802,16.4259,17.7009,18.057,19.3011,20.1761,20.7175,22.9732,24.384,24.2292,24.0926,24.0118,23.6664,23.3993,22.2849,21.9468,22.8655,23.5841,24.2573,24.7679,24.9164,24.8457,23.2435,23.7189,25.7232,27.7321,26.9818,26.302,26.4066,27.0625,29.6712,29.1578,28.0653,26.3599,27.623,28.5496,27.5627,28.5643,29.3972,30.8576,29.5612,30.022,30.4308,31.5493,31.2492,30.5225,31.2916,30.9931,31.1222,30.041,30.4457,28.5442,27.4742,28.795,28.586,27.3816,25.9455,24.8735,23.1256,22.3129,22.6494,23.3138,23.4275,23.2159,22.9842,23.483,23.857
"Queens","NY","New York","36","081",1.1401,1.518,1.4693,1.296,1.5856,1.2812,1.1358,0.9353,1.4792,1.1128,1.2581,1.4306,1.5226,1.3138,1.3333,1.6151,1.3718,1.2709,1.7625,2.0377,1.6802,1.6287,2.4208,1.9081,1.7798,1.993,2.0431,2.1165,2.6388,2.9557,2.685,2.8362,2.362,2.558,1.8003,2.3532,1.8459,2.1477,2.4068,1.3194,,,,,,,,,,,,,,,,,,,,,,,,,0.3704,0.6429,1.3546,1.8206,2.221,2.1172,1.616,1.4116,1.3506,1.1034,1.25320000000001,1.3408,2.2737,2.2921,2.0393,2.0015,1.798,1.6336,1.6628,2.1747,2.2983,2.0851,2.5041,2.6165,2.0269,1.7067,1.8294,1.77330000000001,2.5714,2.7454,2.5188,2.6483,2.5006,3.0219,2.8882,3.006,3.0034,2.4534,2.2214,2.1853,2.449,2.7997,2.6975,3.1792,3.4762,4.0209,4.0067,4.1274,4.7505,4.5987,4.3039,3.8551,4.2475,4.2324,4.3456,4.248,4.58,4.1724,5.7262,7.2377,8.5395,7.7965,6.6525,6.4997,7.0856,8.0784,8.5078,9.102,9.6463,10.0054,11.0263,9.6144,9.2306,9.9375,10.7725,9.3,8.4065,9.1657,10.2906,10.9353,11.5057,12.5099,11.6745,11.5043,11.5875,12.1774,10.7424,11.5958,13.1938,14.8414,14.7179,12.9449,11.5828,12.2589,12.0306,11.9904,14.1221,12.5737,11.0666,11.1745,12.997,13.6579,13.0759,12.7031,12.4471,13.9735,14.3207,15.936,14.722,14.4216,13.8907,13.7915,12.9634,12.5755,11.0475,13.7897,13.0481,13.6248,12.7474,15.0164,13.9089,12.7338,11.9663,10.6416,10.4094,9.9312,10.1574,10.4783,10.4154,10.7744
"Riverside","CA","Riverside","06","065",2.9098,2.8506,2.7179,2.5059,2.2979,2.5061,2.5266,2.5443,2.5923,2.6921,2.5963,2.7476,2.9468,3.3413,3.0717,2.9053,3.0605,2.601,2.7235,2.6944,2.3293,2.257,2.2659,2.6397,2.786,2.7505,2.326,2.0094,1.9172,1.905,2.3045,2.1999,1.8873,1.9134,1.8886,1.7541,1.7847,1.8568,2.0163,1.9521,2.1807,2.069,2.0497,1.7981,1.6721,1.9524,1.9479,2.0818,2.4585,2.672,2.3953,2.1987,2.0949,2.0125,1.8818,1.8233,1.934,2.1044,2.0715,2.0973,2.5118,2.5636,2.8289,2.7154,2.7393,2.648,3.1518,2.9243,2.2915,1.9935,2.0725,2.0233,2.4569,2.5109,2.4243,2.2672,2.1418,2.1609,2.1829,2.5307,2.4504,2.1902,2.2554,2.5771,2.6214,2.5912,2.499,2.6155,2.4339,2.3467,2.2481,2.8673,3.2634,2.9331,2.7611,2.6682,3.001,3.723,3.9199,3.6639,3.6437,3.4625,2.9957,2.5824,2.4355,2.6857,3.2623,3.6612,3.7769,4.2783,4.5675,4.7473,5.29,5.8672,6.179,6.8735,7.0467,8.3214,8.5465,9.0899,10.3434,12.956,14.2601,16.901,17.8772,19.8917,22.4285,25.1495,26.1979,27.3172,29.3416,30.7205,34.9027,36.5753,36.6812,36.4157,36.7101,36.2565,39.0439,39.9517,41.4907,40.6739,40.1466,42.406,44.2733,45.0994,45.797,46.9602,46.1214,44.2403,44.4174,44.8237,46.503,46.0084,46.2687,45.2506,46.7461,46.836,45.5297,44.5889,45.2865,44.2438,43.7421,44.4369,47.257,48.4164,48.5266,48.8341,51.006,51.2895,49.4423,47.0088,47.091,47.1201,48.2329,48.3042,47.3593,47.4549,46.6785,45.5698,43.7448,39.7122,37.0881,34.4231,32.0075,29.5862,28.1532,26.118,23.0225,20.9406,21.5378,22.2525,21.9856,20.2689
