"RegionName","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02"
"California",1.5874,1.678,1.647,1.5995,1.4733,1.3915,1.3987,1.5382,1.5731,1.7108,1.7594,1.928,2.0327,2.0035,1.9457,1.8802,1.7843,1.6247,1.571,1.6584,1.6528,1.697,1.7287,1.9545,2.0441,2.0882,1.8588,1.757,1.7341,1.6134,1.5849,1.5744,1.5419,1.6114,1.6322,1.7301,1.9464,2.1776,2.2182,2.2252,2.2096,2.132,2.1407,2.1394,2.2073,2.4607,2.6841,2.9676,3.1801,3.195,2.9367,2.6837,2.4586,2.2997,2.2973,2.2894,2.4855,2.6605,2.7461,2.8987,3.3258,3.4668,3.3181,3.1097,2.998,2.8526,2.8602,2.7686,2.6437,2.7099,2.6305,2.5431,2.6593,2.7285,2.6912,2.5968,2.4533,2.3368,2.1935,2.2108,2.2351,2.265,2.3628,2.5369,2.6904,2.8263,2.6669,2.5178,2.3802,2.3325,2.3617,2.4847,2.4835,2.4428,2.4611,2.6715,3.2582,3.5962,3.7609,3.9051,3.7751,3.4272,3.3309,3.6127,3.7652,4.0326,4.3696,4.7467,5.2815,5.619,5.644,5.9639,6.3767,6.7244,6.9998,7.3428,7.4685,8.1757,8.7299,9.5419,11.4393,13.2577,14.5225,15.6936,17.3134,17.6763,17.9175,18.3883,19.8103,21.3289,22.9074,24.0506,26.9313,28.8931,29.0715,29.201,28.8858,28.5065,28.0437,27.9199,27.8256,28.3054,28.29,29.3342,31.5746,33.0111,32.9197,32.9201,31.5553,31.1772,31.4664,32.3086,32.5798,32.6122,32.8162,33.1328,35.0924,36.1679,35.68,34.2774,33.9298,33.433,32.9114,33.1034,37.939,39.5728,40.4016,41.2719,42.2528,42.6392,41.2989,39.5738,37.6758,36.4545,35.8315,35.2398,35.0844,34.712,34.0104,33.5849,32.946,31.6748,29.1711,26.7109,24.5113,22.4661,20.957,19.5714,18.5609,17.8829,17.5163,18.0053,17.8598,17.2134
"New York",1.0808,1.062,1.0245,1.0165,0.997,0.9472,0.9478,0.8773,0.9592,0.9898,1.0875,1.1661,1.2273,1.3381,1.409,1.383,1.3004,1.2991,2.3452,3.2051,3.4317,3.0973,3.2919,4.0232,4.7975,5.2882,5.4416,5.2488,5.309,5.2974,5.3175,5.2111,5.3826,5.6952,6.2104,6.477,6.5052,7.0362,7.0064,7.3688,7.4441,6.9018,6.1126,5.8232,6.1703,6.3767,6.3579,6.6863,6.9948,7.9526,7.9704,7.7716,7.1886,6.508,5.9841,5.721,5.7584,5.8885,6.0184,6.3853,6.9634,7.5208,7.6505,7.7133,7.3265,7.2172,6.886,6.2917,5.5189,4.9052,4.5744,4.6713,5.2619,6.0995,5.7262,5.0918,4.4313,4.2888,3.9967,4.1878,4.4063,4.7948,5.2106,5.3467,5.5598,6.3029,6.8568,6.9965,6.7292,6.155,5.5938,5.686,5.7153,5.9415,6.3407,6.8473,7.6379,8.718,8.6712,8.1232,7.3639,6.8091,6.5316,6.9984,7.7729,8.8217,10.1946,11.394,12.1679,13.0138,13.1257,12.6773,11.988,11.4713,10.917,10.9259,11.3925,12.1401,13.1833,14.4405,16.172,18.2749,19.1296,19.1677,18.1559,17.2116,16.0171,15.4864,15.6083,16.3274,17.0315,18.2161,20.1375,22.8194,23.9602,24.11,22.4474,20.3596,18.8016,18.1513,17.8935,17.9718,17.4955,17.6889,18.7588,19.7826,20.365,20.1724,19.1235,17.9784,18.0145,19.7891,21.2246,21.9622,22.044,22.4146,23.0232,24.3549,25.0031,23.9493,22.6925,21.3493,20.453,20.32,23.294,23.7213,24.672,24.9081,25.4217,27.0703,27.7385,26.7463,25.4726,24.5458,24.0156,24.248,24.2309,24.9846,26.1542,26.1337,26.2888,27.648,26.6908,25.3287,23.953,22.678,21.5057,19.9356,18.8679,18.7959,19.0977,18.7233,18.3885,18.622
"Florida",1.9673,2.1352,2.1445,2.0595,2.0052,2.0585,2.2309,2.3942,2.512,2.7147,2.9503,3.0967,3.2585,3.3915,3.3704,3.2171,3.2823,3.3149,3.2497,3.4738,3.8162,3.8857,3.9809,4.0888,4.2987,4.5411,4.3203,4.196,4.141,4.1227,4.1975,4.2525,4.2426,4.3083,4.4992,4.7062,5.154,5.3135,5.3604,5.0434,4.756,4.4162,4.4709,4.4463,4.5953,4.6525,4.863,4.9671,4.8145,4.7029,4.3649,4.2132,4.0987,4.0044,4.0004,4.1434,4.3243,4.4183,4.4352,4.6708,5.047,5.1074,4.7841,4.5405,4.4251,4.3767,4.3163,4.3766,4.4611,4.4666,4.5979,4.5466,4.5517,4.6137,4.4241,4.0963,3.759,3.6855,3.6204,3.6457,3.6135,3.7081,4.0078,4.1406,4.2089,4.316,4.059,3.8663,3.7619,3.859,4.0263,4.2348,4.4161,4.6424,4.8988,5.3181,5.6718,5.5228,4.9188,4.4759,4.2753,4.3529,4.3985,4.5378,4.7501,5.0351,5.3963,5.9176,6.3153,7.0381,7.1487,7.1005,7.3952,7.8688,8.3468,9.0569,10.0875,11.1112,12.0249,13.5469,15.0519,17.1184,18.4949,19.6207,20.7479,22.255,23.7819,26.2656,27.7658,30.2367,33.0767,35.6649,40.2076,43.0997,43.5771,44.1698,44.4399,44.2892,43.5342,43.3249,42.8376,42.4427,41.2773,41.446,44.5855,45.7053,45.3891,44.0243,43.7366,43.4856,43.9629,45.1621,46.6022,47.2411,46.955,45.0109,45.5775,46.7429,46.8155,45.4135,43.6428,42.9874,42.0796,42.399,47.6486,48.2112,48.3831,48.3565,49.325,50.2452,49.6885,48.0922,46.7041,46.877,47.0778,47.2405,47.5307,47.2195,46.4108,44.736,45.0914,44.9057,43.5244,41.5985,40.5622,39.52,38.874,38.1024,36.3021,34.4652,32.7132,32.7908,33.0423,32.1934
"Illinois",0.5951,0.6621,0.8318,0.7817,0.7906,0.7892,0.8496,0.9053,0.853,0.9296,1.0177,1.1103,1.2714,1.3068,1.374,1.4131,1.527,1.3535,1.2169,1.1523,1.2655,1.3725,1.4558,1.6012,1.5835,1.5674,1.6632,1.7476,1.6782,1.5501,1.4178,1.4525,1.44,1.6002,1.8219,1.9412,2.087,2.26,2.2799,2.125,1.8411,1.6827,1.6064,1.6183,1.7482,1.8399,1.9035,2.1043,2.3325,2.6818,2.7292,2.6362,2.3849,2.1497,1.9555,1.9259,2.0695,2.0989,2.2467,2.3359,2.4938,2.9732,3.0911,3.0897,2.8718,2.4803,2.3641,2.3105,2.3457,2.3289,2.5118,2.6733,2.9185,3.0905,3.1797,2.9645,2.632,2.4543,2.2768,2.2657,2.256,2.3181,2.5247,2.6137,2.7834,2.9412,2.9103,2.8395,2.5551,2.3867,2.3309,2.2984,2.2894,2.4839,2.7384,3.0603,3.0381,3.1221,3.2076,3.1234,2.9396,2.8426,2.8588,2.9287,3.1288,3.4392,3.7329,4.0874,4.5571,5.1931,5.4379,5.4562,5.2114,5.1026,5.1247,5.3937,6.1248,7.0458,8.2905,9.5713,11.3126,13.0473,14.2408,14.2853,14.3733,14.1951,14.3593,15.2315,16.5451,18.1731,20.9181,22.8973,26.3752,29.0394,29.7311,29.7629,29.2739,28.1801,27.1574,26.5457,27.0382,27.3716,27.398,28.3036,31.638,33.6656,33.9662,32.0338,29.9297,28.689,29.5726,31.1967,32.2047,32.7984,32.5062,33.8739,38.3394,41.8407,43.4553,42.1501,40.6217,39.2773,37.8616,37.9568,41.1322,41.8921,42.7694,43.5492,42.3669,43.882,44.9056,44.4533,43.0728,42.286,42.027,42.5093,43.1037,44.3258,44.1509,44.0732,43.7586,45.297,45.9504,44.8922,42.6742,40.8284,39.2113,38.5556,38.4531,38.2495,38.0894,37.7758,39.215,39.2491
"Pennsylvania",1.2302,1.3958,1.5926,1.4417,1.5458,1.4894,1.4238,1.4799,1.5555,1.5914,1.5008,1.2993,1.5123,1.9511,1.9524,1.9167,1.6641,1.4864,1.3528,1.4133,1.7415,2.1009,2.446,2.5124,2.716,2.7672,2.8616,2.8628,2.7641,2.8629,2.4226,2.1514,2.2013,2.4748,2.5403,2.701,3.1818,3.6504,3.5359,3.1456,2.9579,2.7584,2.3458,2.2636,2.3579,2.7443,2.9584,2.8422,3.2325,3.7325,3.7983,3.4829,3.1652,2.93,2.9213,2.7839,2.6679,2.8042,2.9186,3.0818,3.476,3.9424,4.1652,4.1424,3.7178,3.2523,3.0089,3.0042,2.9416,3.0596,3.5498,3.6549,4.1765,4.8196,4.9672,4.7112,4.0535,3.5919,3.2791,3.5557,3.883,4.5821,4.7318,5.0354,5.8031,6.1376,6.1907,5.7684,5.4183,4.8487,4.5799,4.71,4.8956,5.0853,5.226,5.388,5.9956,6.375,6.4477,6.1397,5.8873,5.6894,5.6724,5.5947,5.6178,6.0653,6.6357,7.2682,8.1467,8.5544,7.9145,6.7032,5.9291,5.2982,4.9495,4.8994,5.0022,5.1412,5.3417,5.917,7.0543,7.9782,8.0024,7.7824,7.3218,6.4832,6.2888,6.005,6.1995,6.4625,7.1192,8.0433,9.5128,10.1553,10.2248,9.1687,8.5011,8.2067,8.4479,8.412,8.4291,8.3298,7.9967,8.5626,9.9561,11.2864,11.461,10.501,9.5979,8.8232,9.6633,10.4106,11.1834,11.2809,11.236,12.0997,12.8161,13.8621,13.8761,13.6858,12.8208,12.3172,12.2575,12.133,16.8203,17.3437,18.2572,19.7136,22.5105,25.4414,27.3886,26.6848,25.6332,25.0213,24.5763,24.5086,25.1297,25.9506,26.5864,26.0717,25.4838,24.8986,24.2564,22.5764,20.9015,20.0508,19.5787,18.9536,18.9988,18.8229,18.2896,18.6465,19.3552,20.0694
"Ohio",1.1623,1.101,0.995,0.9212,0.8844,0.8775,0.8438,0.8923,1.0968,1.1882,1.3497,1.5129,1.5672,1.6237,1.5589,1.5517,1.474,1.4242,1.3793,1.4546,1.5617,1.7496,1.9566,2.0773,2.2506,2.4272,2.2903,2.267,2.0016,1.9139,1.7867,1.9191,2.1004,2.2437,2.4453,2.7095,3.269,3.3679,3.1101,3.0031,2.761,2.5927,2.4393,2.4889,2.6989,2.9342,3.0087,3.3236,3.7696,3.9151,3.6947,3.419,3.1545,3.0343,3.0813,2.8898,3.0292,3.3257,3.6091,3.6988,4.1402,4.3167,4.2772,3.9355,3.4147,2.948,2.7605,2.7874,2.8072,2.9267,3.1207,3.2732,3.5781,4.0094,3.7448,3.4087,3.0393,2.8869,2.7824,2.8471,2.9079,3.0131,3.3735,3.6084,3.8453,4.0652,4.102,3.9631,3.7461,3.5005,3.2834,3.4443,3.708,3.8376,4.0448,4.3758,4.8502,5.1841,5.1024,4.8984,4.6862,4.438,4.3344,4.4551,4.8046,5.4407,6.116,6.7449,7.3682,7.7886,7.843,7.5051,7.4259,7.3594,7.43,7.522,8.1587,8.5229,9.3527,10.0726,10.975,11.8352,12.3404,12.6419,12.2932,12.2226,12.2134,12.2397,12.1806,12.8885,14.025,14.9628,15.7148,16.5651,16.8409,17.0028,16.6788,16.3413,15.9611,16.0193,15.5939,16.0764,16.448,16.8675,17.9621,18.8652,19.0427,18.8568,18.5996,18.3496,18.8944,19.3928,20.0992,20.2427,20.4953,20.0408,20.2628,21.2959,21.5254,21.3774,21.0418,21.2331,21.1584,20.8271,34.2382,33.3915,33.4023,34.3678,36.6467,38.5523,39.6572,39.9172,39.4286,39.0854,39.3824,40.0804,40.7359,41.3606,41.2802,41.9746,43.0957,45.4385,44.7859,43.131,40.9833,38.9598,37.5918,36.9957,36.7065,35.7344,33.0277,32.721,32.83,32.4333
"Michigan",0.953,0.9207,0.8706,0.7352,0.82,0.8005,0.8634,0.9325,1.0156,1.1805,1.5207,1.4662,1.9189,2.6669,3.4648,3.4867,3.2496,2.69,2.3368,2.2043,2.1762,2.2117,2.482,2.945,3.1961,2.9819,2.9508,2.821,2.531,2.2523,2.1934,2.9152,2.9442,2.2397,1.8465,1.786,2.2024,2.5098,2.6897,2.445,2.1064,1.8744,2.0332,2.0409,2.1276,2.3335,2.5825,2.5296,2.8689,3.3038,3.5107,3.335,3.0852,2.7667,2.6985,2.6509,2.5695,2.598,2.809,2.8302,3.2306,3.5196,3.4102,3.2324,3.1189,2.9128,2.7818,2.6578,2.9432,3.0724,3.1832,3.4441,3.5974,3.8438,4.1044,3.9374,3.5909,3.3357,3.1259,2.9709,3.0234,3.1474,3.2303,3.333,3.475,3.9175,3.9708,4.0077,3.7506,3.5881,3.4609,3.5588,3.5525,3.5588,3.6825,4.3352,5.1838,5.8779,6.2235,6.3265,6.443,6.2646,6.1908,6.4652,7.3635,8.1656,8.6625,9.7981,11.0142,11.2859,11.886,12.4538,12.7407,12.5598,14.0451,14.5673,15.9552,16.242,16.5486,17.4161,18.993,20.0347,20.4973,20.5848,20.5708,20.5167,20.8223,21.3762,21.9875,23.1571,23.7161,25.3744,26.676,27.9115,28.6321,29.4638,31.0331,32.3863,31.3483,29.9273,29.0153,28.7107,27.6788,27.9741,29.7418,31.2678,31.9574,31.1018,30.7998,30.3319,31.3701,31.6803,31.0573,31.2356,31.4508,31.1319,31.5738,33.5101,34.7078,34.1167,33.9957,33.059,32.3495,31.848,33.6605,34.0934,33.4673,33.926,34.6756,36.1671,38.9715,38.6269,36.9045,35.3256,35.0618,34.862,34.6282,33.7139,33.9906,33.272,33.63,34.016,33.1523,32.9503,31.8488,31.0262,29.1218,28.0739,27.3898,26.7519,26.947,26.8324,27.3756,27.6986
"Georgia",0.8302,0.8395,0.7626,0.7636,0.7806,0.8235,0.776,0.7725,0.8545,1.119,1.2107,1.3576,1.2987,1.2428,1.0696,1.0112,0.9425,0.9647,1.0568,1.1346,1.1676,1.2147,1.3005,1.3491,1.3525,1.3859,1.4125,1.427,1.4009,1.3423,1.3632,1.3997,1.4872,1.4632,1.4318,1.5511,1.6568,1.573,1.5113,1.4525,1.4479,1.4575,1.4696,1.4167,1.4186,1.6599,1.8865,2.0479,2.0539,2.2596,2.4274,2.4234,2.3467,2.2674,2.1834,2.3284,2.4197,2.4461,2.7062,2.8865,3.2845,3.7051,4.1248,4.3335,4.5351,4.4653,4.4007,4.355,4.3558,4.1871,4.4723,4.6929,4.5937,4.2712,4.2779,4.0721,4.0745,4.0805,3.9487,3.8813,4.0998,4.3246,4.3549,4.4043,4.6467,4.642,4.705,4.4992,4.5271,4.4031,4.3415,4.1799,4.3689,4.6347,4.9219,5.0709,6.0172,7.3756,7.9132,7.7532,7.7685,7.5426,7.3141,7.1392,7.4919,8.3105,9.1812,12.2855,16.6387,17.7016,14.4336,11.5585,10.4495,10.8063,11.0767,11.8852,13.3761,14.6663,15.3638,16.6288,18.6028,21.6573,22.649,22.3996,22.6445,22.0529,22.86,23.9132,26.3953,27.1959,29.9734,31.3347,34.0484,35.7711,35.3491,35.1441,35.1786,34.6127,33.8493,32.954,32.8679,33.2628,33.2084,33.4001,35.1042,35.6445,36.7465,36.2243,35.6223,34.8452,35.0534,36.0591,36.4754,35.1873,34.6118,36.1904,38.0786,39.0197,39.6397,39.4812,38.8703,39.0529,38.2667,38.573,47.1259,47.613,48.2463,47.891,49.0018,49.71,49.8395,48.54,48.6523,49.4097,50.1247,50.2988,50.7322,50.812,51.0725,50.4776,49.4365,48.3742,47.9322,46.3307,44.8671,42.9276,41.3262,39.5197,38.0929,37.4962,37.6002,36.6443,36.1887,36.2196
"North Carolina",0.8379,0.7587,0.641,0.5629,0.5328,0.6147,0.7052,0.8207,0.7717,0.7949,0.9823,1.0658,1.1107,1.0813,1.0071,1.074,1.0734,1.0151,4.8883,3.8266,2.3921,1.3437,1.4033,1.5294,1.6487,1.5464,1.4232,1.3788,1.2124,1.2213,1.2635,1.3581,1.381,1.4734,1.6265,1.8619,2.5122,2.9527,2.9758,2.6996,2.6879,2.6603,2.6039,2.6424,2.7418,2.9022,3.0871,3.1717,3.4208,3.6202,3.5779,3.6406,3.603,3.4248,3.4949,3.872,4.037,4.4424,4.8706,5.283,5.2689,5.4657,5.4249,5.7245,5.3222,5.1125,5.4765,5.3781,5.5292,5.522,5.562,5.4982,5.1192,4.9034,4.5447,4.1936,4.1838,3.9593,3.794,3.7867,3.7307,3.816,3.7574,3.9237,4.0956,4.2552,4.1885,4.0573,3.9186,3.9917,4.3138,4.3619,4.433,4.339,4.3643,4.4214,5.2955,5.6834,5.7604,5.4743,5.224,4.9713,4.9708,4.9832,5.1999,5.5422,5.9215,7.2563,10.1351,10.6749,11.461,8.7472,7.1404,5.5196,5.1547,5.0023,5.758,6.1987,6.48,7.1099,8.1795,8.6568,8.5909,8.2532,7.9167,7.8009,8.1873,8.514,11.1201,11.4017,11.6939,12.5746,14.3219,15.3962,15.865,16.098,15.7334,14.8024,14.5621,15.1937,15.5031,15.4386,15.4189,16.1878,17.2916,17.933,17.573,17.2639,16.5444,16.2192,17.4824,19.6046,19.6469,20.0982,21.0107,21.8548,23.2638,24.0823,24.108,24.1454,24.0782,24.1853,24.5777,24.878,30.2855,31.9249,32.3689,32.3192,33.7637,33.9563,34.4354,35.2043,35.4528,34.9624,34.8156,36.3794,37.8794,39.1983,39.4368,39.9869,41.4538,41.874,39.7649,37.0745,34.9971,33.3517,31.9282,30.4636,30.1127,29.3669,28.9324,29.1231,29.339,29.2529
"New Jersey",1.5156,1.6803,1.6474,1.516,1.3128,1.203,1.1914,1.5073,1.7571,1.6344,3.7728,3.0769,2.3658,1.8855,2.0587,1.9972,1.9709,1.7738,1.6888,1.6669,1.7044,1.7819,1.9289,2.0121,2.1746,2.3071,2.276,2.1274,1.9687,1.9173,1.9176,1.967,2.0228,2.1355,2.1917,2.3645,2.8516,3.4183,3.6073,3.2302,2.8149,2.4293,2.1859,2.0699,1.9764,2.2097,2.4666,2.8164,2.9741,3.2608,3.2686,3.0882,2.9016,2.839,2.6339,2.5515,2.5226,2.652,2.8358,2.9617,3.4885,3.8289,3.9457,3.7477,3.56,3.1967,2.9471,3.2617,3.2983,3.3748,3.328,3.3616,7.8674,11.4645,13.4537,13.4056,12.5483,11.2039,9.6688,9.3032,9.8363,10.5157,11.1888,11.77,12.6521,13.8748,14.4188,13.8979,13.0303,11.2131,10.0196,10.063,10.7166,11.2025,11.6729,12.1792,13.6388,15.3302,15.9114,14.9868,13.9221,13.2826,12.1476,11.8615,12.5885,13.5236,14.1672,13.8579,13.576,11.8587,10.3531,8.2548,6.9242,6.1401,6.7371,7.5127,8.5928,8.7977,9.3343,10.3643,11.8938,12.5422,13.3265,13.7567,13.6717,13.2909,13.2765,13.5066,14.1798,15.7379,17.2729,17.9197,20.0877,22.659,24.311,24.5281,23.3656,22.2008,21.0517,20.5844,20.8278,21.2593,21.1485,21.8032,22.6406,24.2821,25.278,25.1519,24.475,23.0538,22.496,23.1724,23.6188,23.9116,24.0821,24.1712,24.7244,26.5734,28.0839,27.7921,27.1888,26.6016,25.7506,25.0307,26.8978,27.9768,28.853,29.2873,31.0618,32.3263,33.3393,32.2264,31.0605,31.0412,30.8396,30.6847,30.724,31.3482,31.7953,31.2901,31.4257,32.3282,32.1941,31.1852,29.7486,28.7331,28.1877,27.6663,27.4037,27.0437,26.5771,26.4053,26.7926,27.1621
