"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02"
"Los Angeles","CA","Los Angeles","06","037",388900,374900,360000,354900,349900,349900,349900,359000,355000,365000,364900,379500,378700,365000,360000,374900,365000,375000,379000,379900,385000,379900,379950,369500,369000,360000,350000,349000,349900,349000,345000,349000,349900,349900,349900,344900,339000,335000,329000,329000,325000,333000,339500,349000,359000,365000,368000,368000,364900,374000,375000,385000,399000,424900,448800,459900,475000,479000,479000,479000,475000,459999,459900,449900,459000
"Cook","IL","Chicago","17","031",259500,249999,246990,249900,245000,245000,248900,249900,245000,239900,238900,239900,237000,228500,229000,225000,228500,229000,229000,229000,229900,224900,223500,214900,219500,215000,199900,199000,199000,199900,199900,200000,199925,199900,199000,195000,189900,182500,178900,175000,175000,179000,179900,179930,179900,174900,172500,169900,169000,169000,160000,164900,172400,179900,189900,199000,199900,199900,199000,199900,199000,190000,187900,179900,199000
"Harris","TX","Houston","48","201",138800,135000,136000,137500,140000,154900,156000,159900,159900,160000,159900,158999,154990,150000,151500,150000,152990,153000,153900,154825,154000,150000,149900,154900,154900,156500,154900,151950,155525,156900,152900,155990,159900,155900,155550,149900,149990,149000,149900,149900,149900,150000,152000,155000,156900,155000,157990,156560,155000,159000,160950,160995,169900,172950,176064,179500,179900,179900,180990,184500,189900,185990,188000,189900,198990
"Maricopa","AZ","Phoenix","04","013",224900,199900,195000,189900,183500,179900,175000,190000,182900,179900,178500,184900,176000,169900,173900,169900,168400,164900,161900,159900,155000,150000,149000,145900,144900,144200,139900,139900,140000,139900,138000,139900,142627,139900,144500,140000,144900,148000,149900,155000,159900,169000,178900,179900,180000,181900,185000,185000,190000,198000,199500,200000,214500,220000,229000,235150,239450,239900,235000,234900,235000,234900,235900,237490,239900
"San Diego","CA","San Diego","06","073",384900,356500,355000,355000,350000,350000,350000,370000,360000,363580,361900,380000,379000,369900,380000,378200,379000,379000,384500,389000,390000,389700,389000,379000,379000,375000,360000,355000,354071,349900,349950,359900,364900,360000,354475,349000,344990,345000,344900,345000,339000,345900,349000,360000,369000,374900,375000,369900,375000,375000,379900,389000,399000,419000,429900,445000,449900,455900,455000,455000,450000,449900,450000,454000,464000
"Orange","CA","Los Angeles","06","059",479000,469000,457900,450000,454900,464900,470000,479900,514900,500000,499000,499900,499000,485000,495000,495000,479000,469900,479000,479999,490000,475000,485000,459000,469000,470500,450000,449900,449000,449000,449900,450000,459900,456381,450000,449000,449000,440000,430000,434900,439000,449900,460000,479900,495000,499000,499900,499900,499900,509000,519000,525000,549000,574900,585000,599900,613000,609000,602000,609000,609000,600000,608000,599500,609800
"Kings","NY","New York","36","047",529000,520000,509000,509000,499900,499000,520000,509000,519000,499000,499000,499000,499000,495000,489000,479000,475000,459000,465000,465000,460000,469000,469000,469000,475000,478000,479000,475000,470000,469250,470000,470000,495000,489000,479000,479000,499000,500000,500000,499000,499000,512050,525000,539000,529000,525000,519000,505000,499000,499000,485000,475000,485000,499000,500000,505000,527600,499000,512000,525888,535000,600000,599000,580000,569000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",260000,250000,244900,250000,250000,249000,248000,240000,240000,240000,231000,236000,237000,230000,245000,229900,229900,220000,219000,220000,215000,205000,199000,191800,200000,207800,200000,200000,225000,222430,199000,230000,239000,240000,249000,254000,259500,269000,280900,276420,279000,279000,279900,280000,275000,279000,295000,305000,225000,226900,235000,245000,249900,250000,250900,257500,257900,269000,249900,249000,250000,269000,269000,270000,277000
"Dallas","TX","Dallas-Fort Worth","48","113",144900,139900,139800,139500,135500,152000,149979,169900,159500,166487,159000,165000,158918,159900,159900,159000,152990,157000,159500,159000,159950,159990,155000,159900,159900,159870,150000,145000,149900,149900,143900,149000,159000,155700,144900,147990,149500,147000,145900,143990,147000,149000,149950,159900,159900,156000,156000,153900,157000,159900,159900,159000,159900,175000,180000,185000,184900,179900,179900,179900,179999,179000,179900,172000,178000
"Queens","NY","New York","36","081",429000,434900,437000,420000,414900,398888,375000,369000,359000,355500,369000,369000,365000,359000,359000,359000,349999,330000,348000,349900,349000,333000,335000,349000,349000,349000,349000,349000,339000,345000,358000,355000,379000,369000,356000,349999,389000,399000,399000,399000,399000,399000,399000,400000,399777,399990,399000,399000,399900,399000,390000,389900,397000,399000,399000,399000,399000,395000,398000,398000,390000,395000,399000,399000,399999
"Riverside","CA","Riverside","06","065",241900,229900,224900,215900,209900,200000,199900,200000,199900,199900,200000,207000,214900,209000,213500,215000,219000,219900,221900,225000,228000,225000,225000,225000,224900,225000,220000,220000,220000,219900,219900,219900,219500,214000,215000,214900,215000,215000,219000,219000,215500,219900,222000,224900,224900,225000,229900,235000,239900,249900,255000,260000,269900,279000,285000,295000,299000,299900,299999,310000,313000,315000,319900,319900,323900
"San Bernardino","CA","Riverside","06","071",225000,200000,194900,184900,174915,166900,164900,164900,152500,150000,150000,153700,150000,149900,149900,165000,162000,164900,169000,172500,180000,184900,184500,184000,179900,175900,168300,166900,169500,168000,164500,168900,169900,169000,169900,167500,168000,160500,159900,159900,159900,162000,166885,169900,174900,176000,180000,179900,175500,180000,183750,180000,189000,196600,199500,205000,218000,225000,229900,234500,235000,225000,227900,229900,234900
"Clark","NV","Las Vegas","32","003",199000,185000,179000,172500,163500,157000,151900,149900,145000,145000,145000,147000,145000,141900,147000,149500,149900,149900,149900,149000,145000,140000,138000,139000,135000,135000,129900,129900,134900,132500,129000,129000,130000,127900,129950,128725,125000,124900,124900,125000,125000,129457,130000,140000,145000,138990,135000,135000,139000,139500,144900,148888,149900,150000,155000,160000,165000,160500,174900,179000,179900,180000,179900,175000,179000
"King","WA","Seattle","53","033",449000,430000,419950,400000,399950,399950,399900,399900,394500,394950,389990,389000,385000,369950,360000,350000,350000,349500,349900,349950,349950,349500,349000,339950,339500,331500,325000,309950,309860,305000,299950,299995,300000,309000,307450,300000,299900,295000,286990,285000,293500,305000,325000,339950,349500,349950,349900,350000,349000,349900,335000,330000,349900,359900,375950,393888,399950,399950,399000,399000,399000,384950,375000,369950,375000
"Wayne","MI","Detroit","26","163",74000,60900,68900,69900,69000,69000,69000,70000,69777,72000,64900,65000,64900,60000,60000,59900,59900,59900,59900,59000,58900,55000,52800,54900,54900,51480,45000,44000,44900,42900,43900,45900,49500,47500,49800,44900,43000,40000,39900,39900,37900,39900,39900,40000,41900,40000,39990,39950,40000,40000,39900,39900,39900,42000,46900,50220,57500,55000,55000,53000,55000,54100,50000,45000,49000
"Tarrant","TX","Dallas-Fort Worth","48","439",164990,160000,160000,159900,159900,159990,159900,169900,164900,160990,159900,160000,158580,155900,155000,152000,150000,152550,154800,156490,155000,155000,149900,154500,154000,154900,149900,149900,154000,152900,145000,153000,159900,158400,152000,154900,155000,155990,155000,154900,155000,155000,158400,159900,160000,159900,159900,159000,159800,159000,159866,159900,165000,169000,170000,175000,176000,175000,174990,174500,174800,170000,172900,169900,175000
"Santa Clara","CA","San Jose","06","085",599750,572000,499950,549000,549888,564000,575000,609000,620000,625000,599950,599000,585000,560000,574900,567246,569999,569000,570880,573000,575000,588000,589995,565000,549950,535000,514900,499950,529950,534950,535000,569000,569000,560000,549900,550000,549000,539000,500530,509900,525000,544900,559900,580000,599000,619000,610000,608000,618000,619000,618000,615000,659000,679000,699000,699950,699700,699000,688000,679999,679000,675000,679000,679900,699999
"Broward","FL","Miami-Fort Lauderdale","12","011",259999,245000,239000,229900,229000,225511,230000,230000,230000,234900,238532,239000,235000,229900,239900,224900,229000,223990,224900,225000,220000,219900,209900,198900,195000,204000,199000,199900,199000,199900,180000,199900,216000,210000,219912,217500,205000,209900,199876,211990,224000,235000,219900,200000,219000,225000,220000,215000,189900,195000,185500,199900,209500,214000,222000,229000,225000,225000,225000,224900,215000,238500,220000,219900,219995
"Bexar","TX","San Antonio","48","029",189000,190900,184495,184000,179000,180900,176990,190000,169888,174500,165990,159990,158000,156900,157000,159000,155000,155000,157000,159900,159900,159000,151776,152500,157500,155900,155000,159000,161578,162900,159000,165000,169628,168000,160000,154995,155900,155000,157500,155900,157250,159000,160990,164950,166000,164000,165000,164900,163995,165000,167490,169000,175000,177995,179975,183900,186990,185971,187432,189900,195000,192000,198647,198000,203986
"New York","NY","New York","36","061",795000,840000,850000,865000,799000,870000,1149000,1115000,1100000,995000,950000,999500,995000,950000,949000,900000,865000,880000,875000,925000,899000,890000,865000,860000,865000,865000,875000,855000,869000,895000,959000,975000,995000,995000,975000,995000,1069000,1149000,1150000,1150000,1190000,1195000,1150000,1175000,1190000,1150000,1121000,1200000,1200000,1250000,1255000,1275000,1250000,1375000,1415000,1450000,1499000,1450000,1525000,1550000,1600000,1730000,1715000,1715000,1700000
"Philadelphia","PA","Philadelphia","42","101",199900,199900,199000,199000,190000,199000,179000,194900,169900,169000,160000,159900,160000,159900,154900,149999,162900,169900,164900,164900,164900,164900,159000,160000,159900,159900,150000,149999,159000,159900,154900,157900,159000,149950,149900,147500,145000,143500,138000,139500,139900,147000,147498,145000,142500,139900,135000,130500,129900,129900,125000,128000,129900,139900,144900,149900,150000,145000,139900,139900,144900,139999,139900,139000,139900
"Alameda","CA","San Francisco","06","001",449900,421542,399888,399880,398694,379900,375000,394900,385990,389000,389000,396000,379900,369000,385000,377000,384900,389000,399000,399900,399900,415000,410000,412000,400000,399000,369950,369000,375000,369000,359000,369000,369950,379000,380103,379000,369000,349900,343800,347590,349888,360000,370000,399000,410000,419800,420000,419000,438000,449950,425000,429000,455000,475000,499950,525000,539000,529000,525000,545000,528000,499000,500000,510000,535000
"Middlesex","MA","Boston","25","017",354900,349900,349000,345000,349900,350000,365900,378876,375000,369999,367900,369900,369900,365000,359900,354900,359900,369900,374900,379000,379900,367400,359900,359900,365000,368900,350000,349900,355000,358000,359900,369900,369900,365000,359900,359900,359900,349900,339900,349000,359900,374900,389000,389000,379900,374000,369900,375000,375000,375000,369000,369900,379900,389900,399900,400000,419000,415000,399000,399900,409900,399900,395000,390000,409900
"Suffolk","NY","New York","36","103",415000,409500,409000,399999,393000,389000,399999,400000,399999,395000,399000,409990,399990,399900,399000,384990,379990,385000,387995,399990,399990,399990,399999,399990,399900,399990,399000,395000,399000,389990,389000,389000,389000,379999,385000,385000,394000,395000,389000,389000,389990,385000,398980,389990,389000,395000,395000,399000,399990,390000,389500,389000,394900,399000,399000,399000,399000,399990,399999,418000,417000,419900,424000,429000,397000
"Sacramento","CA","Sacramento","06","067",200000,195000,194000,195000,199900,199900,199900,208900,200000,205900,206000,214000,212000,204900,216000,205000,215000,209990,200000,199900,189900,188000,185900,185000,181500,179500,174900,169900,170910,165000,160000,159900,164900,165100,170000,172000,165000,169000,167000,165000,155000,159900,159900,159900,169000,175000,180000,180000,190000,185000,185000,200000,224900,239000,235000,249900,250000,259999,259000,259900,259900,249900,259000,264900,274000
"Bronx","NY","New York","36","005",449000,435000,435000,424900,419000,408000,399900,399000,389900,399000,385000,388000,380000,379000,379000,375000,369000,365000,350000,350000,349000,339000,335000,334000,340000,345000,339900,339000,345000,345000,339999,339000,342000,349000,339000,329000,339000,339000,329000,340000,349000,340000,349000,359000,350000,354100,356000,359900,369000,369000,359000,359000,359000,369000,379000,375000,379000,379000,379000,379000,399000,399000,389000,419000,419000
"Nassau","NY","New York","36","059",490000,489000,485000,479000,479900,479000,475000,479000,479000,479000,491662,499000,499000,479000,479000,479000,479000,469999,475000,479000,479000,469000,464990,469000,465900,459000,450000,449000,449000,449999,450000,455000,459000,449999,449000,445000,449000,449000,449000,449000,449000,449000,459990,460000,465000,459900,459000,459000,450000,449000,449000,449000,450000,459000,469000,475000,474900,475000,469000,474999,469000,475000,475000,469000,475000
"Palm Beach","FL","Miami-Fort Lauderdale","12","099",269000,259900,265000,259900,260000,259900,259900,250000,249900,244900,239900,249500,245000,235000,239000,235000,235000,230000,229000,229000,224900,215000,209900,199900,200000,214900,199900,199900,200000,199900,195000,199000,199000,199000,199500,199900,200000,199900,200000,203900,199000,199264,199000,199000,199900,200000,199999,199900,199900,210000,219000,225000,239000,248500,249900,250000,250000,239500,249500,255000,259500,259900,265000,265000,270000
"Cuyahoga","OH","Cleveland","39","035",109900,100000,98900,99800,99876,99900,104900,109900,108000,109900,105000,104900,102000,99900,103900,99999,108500,109900,123900,129000,114900,114900,114500,114900,114900,114900,109900,107900,109500,109900,108500,109900,110000,109900,109900,109900,109500,108000,103000,100000,104900,104900,109000,109900,109900,109900,109900,105000,100000,104900,99900,99500,99900,100000,107500,110000,112900,109900,109900,105000,104900,99900,99900,99000,100000
"Hillsborough","FL","Tampa","12","057",199900,199000,190900,189000,185000,187500,184990,189900,180000,180000,178900,179000,175900,170000,170990,169900,165000,160000,160000,164422,161000,158900,150000,153900,153900,154990,149900,149000,149990,150000,149000,153990,159000,154900,154900,149900,155000,153990,150000,150000,150000,155000,156000,159900,164500,165000,169790,170000,172000,174900,174990,175000,180000,185000,188650,193000,196900,198990,190000,189990,189900,181200,179900,179900,187000
"Allegheny","PA","Pittsburgh","42","003",134900,128000,129900,129900,129900,134900,139900,138900,134900,129900,124900,119900,119900,119900,124719,125900,129900,134900,137100,139999,139900,139900,139000,139900,137900,138900,134900,134900,139900,139900,137500,139900,144000,138900,129900,134900,134900,133000,132000,129900,134500,132500,135000,139900,139500,133000,134000,130000,129900,131900,129900,131500,139000,139900,144900,147900,148800,145000,144900,144900,139900,136000,138000,139000,139900
"Oakland","MI","Detroit","26","125",175000,169900,169900,168000,162500,157500,159000,163200,163500,159900,152000,154900,150000,149900,149900,149000,148000,145000,144900,145000,149000,144900,140000,140000,139900,139900,134900,130000,132000,129900,129500,134900,140000,140000,139900,139000,138990,135000,129900,139000,139000,144900,148000,150000,157000,159900,159900,159900,158500,164000,159000,163900,169900,179500,189900,199000,203700,215000,209900,209900,205900,199900,199900,199999,209900
"Franklin","OH","Columbus","39","049",139900,137900,139700,138900,135000,139900,139900,142950,139900,144000,143900,143900,139900,136900,135000,137900,139000,139500,139000,139800,138900,135000,132500,135900,138000,136900,129900,125325,129900,129900,129900,130000,134900,133500,130000,129800,129900,125900,119900,119900,119900,123990,128800,129900,129900,129900,125000,124900,124900,119900,117500,115000,117900,120900,127100,129900,130777,132400,130000,129900,129900,129900,127900,125000,127800
"Hennepin","MN","Minneapolis-St Paul","27","053",239900,214900,210900,219000,209900,209900,214900,224900,224000,229900,229900,234500,225000,222500,225000,220000,219900,220000,219900,224900,219900,214900,208000,199999,199900,195000,187500,179900,182000,183000,184900,189900,190000,192900,195000,199900,197900,189900,185000,179900,183900,189900,198000,199900,209900,200000,200000,199900,199900,213900,200000,199900,214900,224900,230000,239900,249000,249900,246900,249900,249900,239900,229900,229900,239500
"Orange","FL","Orlando","12","095",218990,205000,199900,190000,185000,179900,179900,183666,175000,179900,170000,169900,169000,159800,159900,159000,159000,152900,152900,150000,145000,140000,139900,143000,144900,145900,140000,140000,140000,142000,139900,145000,150000,149900,149000,142900,145000,139900,139775,139999,139900,141111,149000,150000,158990,159900,159995,165000,174900,173000,179000,181990,185000,194900,199999,205000,215000,215000,210000,219000,224900,218990,215000,215000,227990
"Fairfax","VA","Washington","51","059",399000,375000,375000,385000,385000,389500,400000,435000,440000,422500,405000,413900,399999,400000,420000,419000,419950,419000,429500,439950,446900,429900,419000,399900,410000,415000,400000,400000,415000,424995,440000,450000,450000,450000,439900,445000,442000,437888,429000,439000,459000,475000,498000,499900,499900,499000,492990,495000,495000,499600,498998,499900,500000,524900,529900,539900,534900,524900,509000,499950,490000,490000,480000,497500,499000
"Contra Costa","CA","San Francisco","06","013",305000,285000,279000,275000,269900,270000,270750,299000,295000,295000,289100,309900,309000,299000,310000,299900,299900,299900,314900,319900,329900,339000,331500,330000,319900,304900,296900,289900,299000,295000,279000,290000,299000,299000,299000,290950,289999,279000,265000,285000,299000,299500,304000,329000,334000,349000,346000,339900,350000,367990,354990,369950,399900,429000,499900,523000,509000,499900,475000,468000,461990,445000,449000,438000,450000
"Salt Lake","UT","Salt Lake City","49","035",291000,289900,289900,279900,274900,268900,260000,259000,250000,249900,249800,247500,243000,239900,239900,236900,230000,229900,229900,229900,229900,224950,219900,215900,217900,215900,209000,204900,209000,205000,199900,199900,199900,199900,200000,199900,200000,199990,199900,199900,204900,209000,208000,214900,218000,219000,229650,229900,234900,235000,234900,228519,225000,229900,239900,248916,255000,259900,259900,259900,259900,262000,259900,254900,255000
"Travis","TX","Austin","48","453",274900,274900,271900,269900,274125,269000,267990,264950,265050,257500,249990,255900,249000,239000,239000,234000,235000,230000,235000,239900,240000,239900,239237,238500,237990,243000,235000,229750,230000,235000,243500,249000,230842,239900,235000,230000,229999,230000,229500,229500,236500,249990,255900,260600,269000,264900,262500,260000,214000,240000,244900,245000,250000,274990,290990,299990,299000,297100,294900,298950,300990,310000,310000,317990,325000
"Saint Louis","MO","St. Louis","29","189",165500,154900,159900,159900,159000,159900,159900,169900,159900,164900,159900,159990,156900,149900,149900,150000,154900,154900,154900,154900,155000,154900,152500,150000,152900,150000,145000,139900,140000,139900,140000,148900,149900,149000,147500,144900,144900,144000,137900,144900,139900,140000,149900,150000,149900,149900,146900,145000,144900,144900,139900,135500,144900,149999,155000,159900,159900,154900,149999,149900,147750,139900,135000,130000,139900
"Pima","AZ","Tucson","04","019",224900,215000,214900,218000,212500,202000,199800,199900,199000,195000,191500,195000,192000,189900,194000,191500,189900,189800,185000,184900,184900,180000,175000,175250,174900,174000,174900,169000,170000,169000,160000,159000,159000,154900,153000,150000,151500,154500,154500,155000,154900,155000,159600,159900,159900,162990,165000,164000,165000,166900,169000,169000,169500,170000,174900,178000,179900,179900,184900,185000,185000,182000,184950,184600,185000
"Montgomery","MD","Washington","24","031",397000,379000,369900,359990,369000,375000,380000,399000,387400,370000,359900,364900,365000,349990,349900,339900,345000,349900,362490,359999,360000,350000,339000,325000,339900,342000,329900,325000,334990,340000,359000,374900,375000,378216,371000,375000,375900,369999,359900,369000,379900,399900,410000,430000,425000,420000,412500,412000,419900,419000,399900,399500,409500,419900,439900,449000,449000,435000,425000,435000,425000,419000,411000,400000,415000
"Honolulu","HI","Honolulu","15","003",475000,475000,469000,460000,459000,459000,457000,465000,460000,449900,449000,449000,449000,439000,437000,440000,435000,438000,425000,445000,439000,425000,435000,415000,420000,425000,419000,411000,400000,414500,425000,430000,431000,439000,449000,441000,448000,430000,434900,435000,433900,440000,449000,449900,449000,450000,456079,450000,458000,450000,450000,459995,475000,466690,475000,479000,455000,495000,499000,499000,495000,499000,509000,499000,510000
"Westchester","NY","New York","36","119",519000,519000,499999,499000,499900,499000,499000,499999,499000,499000,495000,479900,475000,449000,449900,449900,449900,460000,475000,495000,480900,450000,450000,435000,449000,449000,414000,419000,419000,464900,449000,449000,499000,495000,475000,465000,499900,519000,499900,499444,525000,549000,550000,570000,549000,555000,539000,548000,539000,549000,545000,549000,575000,589000,595000,599000,590000,579000,550000,559000,569000,565000,549000,549000,566000
"Milwaukee","WI","Milwaukee","55","079",149900,147000,139900,143000,141900,144500,157000,154900,154900,154900,150000,149900,145500,141000,146900,144900,144900,148000,149000,149000,146000,146500,144900,144900,145900,145900,139900,135000,135000,134900,135000,139900,139700,135000,134900,129900,124900,119900,114900,112500,109500,104900,105900,100000,99900,99500,98900,99000,94500,99000,94900,98900,99900,99990,105000,109900,109900,110000,114900,112000,110000,109900,105000,95000,99900
