"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02"
"Los Angeles","CA","Los Angeles","06","037",7.497687442186,7.1942446043165,7.1942446043165,7.5934511852149,7.8516902944383,8.0160320641282,8.273381294964,8.3565459610027,8.3333333333333,8.1716036772216,8.0645161290322,7.9155672823218,7.4430199430199,7,7.0721726190476,7.1428571428571,7.1479628305932,7.1428571428571,6.9933639612046,7.3770491803278,7.2093825457054,7.3170731707317,7.2244488977955,7.1428571428571,6.9821567106283,6.6666666666666,6.5625,6,5.9171597633136,5.7224606580829,5.5757575757575,5.7398630858346,5.6140350877192,5.8744993324432,5.6831097976812,5.4237288135593,5.0886075949367,5.4736842105263,5.4437869822485,5.4083288263926,5.2642661612971,5.1898734177215,5.1508584764127,5.2380952380952,5.1993067590987,5.1020408163265,5.0125313283208,4.9049049049049,4.7020044543429
"Cook","IL","Chicago","17","031",6.9204152249134,7.1330589849108,7.391304347826,7.7435897435897,8.3402835696413,8.5334695963208,8.6536248561565,8.7336244541484,8.5763293310463,8.6994345367551,9.0991810737033,9.1515151515151,8.4,8.0032012805122,7.7041602465331,7.7025641025641,7.8988941548183,8.110300081103,8.0064051240992,8.36820083682,8.36820083682,8.6320545633927,8.7051142546245,8.4033613445378,8.3333333333333,7.8571428571428,7.6982294072363,7.5046904315196,7.6942805847653,7.6978417266187,7.8627591136526,8.0246913580246,8.0267558528428,8.0267558528428,8.0032012805122,7.7948717948717,7.1100392997499,6.6711140760507,6.5288868013151,6.2597809076682,6.2893081761006,6.3622370446382,6.3829787234042,6.3079777365491,6.4556962025316,6.6688896298766,6.9799906933457,7.1530758226037,6.9783670621074
"Harris","TX","Houston","48","201",5.5579948977606,5.8840835539864,6.0066740823136,6.4557779212395,6.8501003152765,6.968989663221,6.8755439512619,6.6666666666666,6.4220183486238,6.1913696060037,6.25,6.2226391494684,5.8823529411764,5.560735027626,5.8581100971445,5.7250525400391,5.5710306406685,5.7142857142857,5.5586436909394,5.8823529411764,5.9462550028587,6.1073825503355,5.930318754633,5.7971014492753,5.76,5.4054054054054,5.4028743291431,5.2691432903714,5.2910052910052,5.2380952380952,5.2687038988408,5.3347559349159,5.3524804177545,5.2910052910052,5.1413881748071,5.0251256281407,4.7619047619047,4.6153846153846,4.5746962115796,4.5454545454545,4.5871559633027,4.747685876381,4.9996833322777,5.008347245409,4.952476238119,4.8415624472878,4.8598130841121,4.8936170212765,4.8
"Maricopa","AZ","Phoenix","04","013",8.4583333333333,8.8321167883211,9.1919191919191,10.0000050000025,10.7775211701308,11.1555555555555,11.4942528735632,11.6666666666666,11.5172413793103,11.1851851851851,10.8433734939759,10.006671114076,9.6836668818592,8.8321167883211,8.5714285714285,8.3402835696413,8.0321285140562,7.8023407022106,7.4766355140186,7.5037518759379,7.521578298397,7.4074759951481,7.4074074074074,6.8989306657468,6.6711140760507,6.2893081761006,6,5.7971014492753,5.8858151854031,5.882698982293,5.8381984987489,5.8950784207679,5.8441558441558,5.8518518518518,5.7142857142857,5.3846153846153,5.0025012506253,5.005005005005,4.8780487804878,4.6533271288971,4.4444444444444,4.3887147335423,4.5475216007276,4.6296296296296,4.7675804529201,4.7630388187663,4.5631067961165,4.5495905368516,4.5225650867161
"San Diego","CA","San Diego","06","073",6.3761097659402,6.3093100795075,6.6889632107023,7.216,7.5187969924812,7.754846779237,7.8704480617553,8.0581450466108,8.0160320641282,7.9213645562301,7.8431372549019,7.4074074074074,6.8767908309455,6.6755674232309,6.7114093959731,6.6675556740898,6.7893391748813,6.6889632107023,6.4536947402387,6.7796610169491,7.047619047619,6.8965517241379,6.7039106145251,6.6666666666666,6.25,6.1176470588235,5.8823529411764,5.6611990129191,5.7435897435897,5.5345632362747,5.5632823365785,5.6044835868694,5.5181927918606,5.4068667207353,5.2554744525547,5.1020408163265,5.0420168067226,5.2198104396208,5.079365079365,5.0420168067226,4.9523809523809,4.8192771084337,4.9135577797998,5.0062578222778,5.0431778929188,5.050505050505,4.8484848484848,4.7630388187663,4.4444444444444
"Orange","CA","Los Angeles","06","059",6.0150375939849,6.1633281972265,6.2513023546572,6.6265060240963,6.6755674232309,6.7114093959731,6.8681929317626,7.1911493546404,7.1119013062409,7.027027027027,7.0588235294117,6.7875716762234,6.253908692933,5.7884615384615,5.8858151854031,5.8995815899581,5.9615384615384,6.0133630289532,5.9752185672054,6.4810787298825,6.4743967039434,6.269592476489,6.25,5.9205190592051,5.7377049180327,5.3448275862068,5.0819672131147,4.9196457855034,4.9056603773584,4.7869674185463,4.7656870532168,4.7714285714285,4.7058823529411,4.7333333333333,4.6907216494845,4.4444444444444,4.189294026377,4.18410041841,4.4,4.4182621502209,4.3516100957354,4.1322314049586,4.2285714285714,4.3715846994535,4.3636363636363,4.2307692307692,4.0080160320641,4.0066777963272,3.8491147036181
"Kings","NY","New York","36","047",6.269592476489,5.9171597633136,6.1349693251533,6.269592476489,6.6666666666666,6.6666666666666,6.6666666666666,6.3926940639269,6.2597809076682,6.5108514190317,6.7114093959731,6.7333333333333,6.269592476489,5.8721934369602,5.6224899598393,5.7306590257879,5.8825882352941,5.8495821727019,5.7971014492753,5.8495821727019,5.6729559748427,5.3892215568862,5.2770448548812,5.5586436909394,5.420054200542,5.360824742268,5.420054200542,5.181347150259,5.2770448548812,5.1948051948051,5.1413881748071,5.2724077328646,5.0420168067226,5.2015604681404,5.008347245409,5.0131926121372,5.2770448548812,5.4527263631815,5.2173913043478,5.2910052910052,5.5690072639225,5.648854961832,5.7471264367816,5.771613663133,5.4669703872437,5.2700922266139,5.4487179487179,5.7232704402515,5.6902002107481
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",10.3092783505154,10.7142857142857,10.5263157894736,11.1111111111111,11.1234705228031,11.5641025641025,12.1323529411764,11.9205298013245,11.2,11.2,11.0169491525423,10.2564102564102,9.8360655737704,9.3939393939393,9.090909090909,9.0357792601576,8.8888888888888,8.695652173913,8.3333333333333,8.347245409015,8.3333333333333,8.3333333333333,8.3333333333333,8.0689655172413,7.9528718703976,7.6962544894817,7.4626865671641,7.433881343817,7.3170731707317,7.320644216691,7.168458781362,7.1428571428571,7.1942446043165,7.1428571428571,7.1530758226037,7.0697674418604,6.8965517241379,6.9333333333333,6.8965517241379,6.677796327212,6.6666666666666,6.6666888889629,6.7704280155642,6.4557779212395,6.4162754303599,6.6711140760507,6.6815144766146,6.908462867012,6.6666666666666
"Dallas","TX","Dallas-Fort Worth","48","113",6.5019505851755,6.2210065645514,6.2893081761006,6.68,6.9223573433115,7.0351758793969,7.0895522388059,7.010157367668,7.0560747663551,6.9434502505368,7.1428571428571,7.0422535211267,6.5776293823038,6.054279749478,6.25,6.0642813826561,6.2111801242236,6.25,6.1326658322903,6.25,6.1557402277623,6.0457516339869,5.9761904761904,5.9171597633136,5.8478209658421,5.6247640619101,5.5617352614015,5.4736842105263,5.6692913385826,5.4527263631815,5.2886801030459,5.3044654939106,5.3684210526315,5.2863436123348,5.2571428571428,5.1282051282051,4.878892733564,4.7809523809523,4.7664442326024,4.7392236246725,4.8179271708683,4.8414023372287,4.9714914474342,5.0462573591253,5.022926219258,4.8214285714285,4.9547403525488,5.1948051948051,5.023923444976
"Queens","NY","New York","36","081",6.4516129032258,5.6179775280898,5.5865921787709,5.6779775584696,5.9633027522935,5.857740585774,6.145251396648,6.269592476489,6.2578222778473,6.2893081761006,6.3829787234042,6.1718098415346,5.9171597633136,5.7894736842105,5.6047197640117,5.6710775047258,5.7142857142857,5.6140350877192,5.4054054054054,5.4347826086956,5.4684894964988,5.420054200542,5.3254437869822,5.3254437869822,5.2823315118397,5.0251256281407,4.9079754601226,4.8096192384769,5.0125313283208,4.8,4.9079754601226,5.008347245409,5.0027890548981,4.8,4.7846889952153,4.8,4.7732696897374,4.666454814344,4.8484848484848,4.7236180904522,4.5558086560364,4.6620046620046,4.6620046620046,4.7179487179487,4.7619198791107,4.6511627906976,4.534844868735,4.4444444444444,4.6153846153846
