"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02"
"Los Angeles","CA","Los Angeles","06","037",114.7799,115.1006,115.6839,115.5553,115.4371,115.7096,115.1553,114.4947,113.5591,113.4599,112.8309,114.0809,116.145,117.4541,117.7715,118.385,118.6512,118.3335,118.7026,119.149,120.2532,121.0734,121.2188,123.3063,125.1297,126.6563,127.6559,129.2299,129.2493,129.1125,129.1147,129.2371,129.362,129.0285,127.6571,129.2792,131.5445,133.7728,136.4194,137.199,136.4575,135.796,135.7031,136.8249,136.6678,136.5924,137.1499,139.4165,141.8094,143.3743,145.5954,146.2976,148.3756,148.956,148.7226,149.8265,149.7954,149.4094,149.0975,151.8692,154.5707,157.263,159.7646,161.6131,162.6922,164.2581,164.1142,164.5232,165.2893,166.6499,167.8726,172.0547,176.5463,180.0389,183.6412,187.6029,191.4113,193.0853,194.0652,196.4965,198.119,199.3712,200.8983,205.3416,210.6043,215.8989,219.444,224.7674,229.9506,233.0453,234.5072,238.6618,241.5931,244.0183,246.3557,254.1347,264.44,274.4282,284.2809,289.3438,293.24,295.8483,296.4489,298.4701,301.2546,301.5356,305.1336,312.9325,320.7373,329.9621,340.2777,346.5081,353.0118,358.4433,360.9777,365.8379,365.6221,366.1301,367.0816,372.8364,376.3219,380.7056,383.2572,384.0838,384.3398,382.3874,379.8346,379.1445,380.0996,379.4676,381.0501,387.1366,393.8341,396.5795,396.3458,398.7205,398.9069,396.3459,387.2474,377.167,369.3133,360.1645,353.9788,349.7633,348.5246,343.8849,342.1065,333.5439,323.7481,312.7053,306.1373,298.7015,291.1533,283.8799,276.6719,276.0808,272.899,275.4364,280.8355,283.1769,281.2721,282.3872,279.082,277.391,277.1509,272.9111,266.255,266.9678,265.1424,268.3837,267.0719,268.3067,266.2209,266.3216,263.8451,262.0807,260.5234,255.3582,251.2973,252.2711,254.1631,255.1783,257.4593,256.3779,254.1044,249.995,245.2331,241.5565,243.4753,239.7611,239.6713,244.7504,248.3929,248.9552,251.715,255.4674,257.6005,258.9215,258.8023,262.6021,265.1408,261.9728,263.811,273.1134,285.3601,295.0093,305.4985,313.073,314.9483,315.9948,314.7624,313.7517,315.7425,313.6906,312.2597
"Cook","IL","Chicago","17","031",100.6451,103.2089,105.3554,106.2378,106.1976,104.638,103.2061,102.5116,101.7448,99.6227,98.0652,100.9247,102.8574,104.5858,105.8886,107.4449,108.0175,108.8453,107.0423,104.9668,103.3332,101.9408,101.0656,103.1905,105.9165,108.4384,110.3544,111.784,113.146,113.0836,111.4665,111.1053,111.5665,112.1603,110.4252,109.7427,110.6966,112.4791,115.6355,116.9502,118.2457,118.2128,117.1529,117.5725,117.5299,114.1426,113.5733,115.6342,118.8525,121.0813,123.8986,126.1272,127.135,127.028,127.5278,127.5341,127.577,127.9796,126.5375,125.7605,128.5364,131.3403,135.3303,139.3274,141.0784,142.0264,141.0813,139.2848,137.8871,137.6073,137.2635,137.8713,139.5896,143.2227,146.5373,150.6565,151.9035,153.8923,152.1038,151.784,152.1451,153.5719,152.9208,158.4917,160.4202,162.7386,179.6345,176.8185,169.8006,166.2937,166.8571,167.1672,166.3942,164.4656,161.5712,159.8393,163.2938,169.1514,174.3054,177.004,179.3114,178.2141,177.3166,173.4297,172.3341,170.4421,170.2402,172.6398,178.0204,183.9615,189.2094,192.1982,193.7952,194.4552,193.285,190.9164,191.7078,187.0135,184.1384,186.3036,189.3338,193.9866,197.983,198.9329,199.1776,197.7473,195.901,192.5926,193.7763,191.8984,189.2344,191.037,197.8104,201.5189,204.6924,205.6209,206.7956,204.2626,198.706,196.0794,193.9519,191.8468,190.4547,190.6221,193.0904,197.4612,201.1541,202.2144,202.6155,199.197,191.8104,185.117,180.3967,175.2023,175.3809,176.4495,178.2754,176.8649,177.8968,180.244,180.2432,181.1684,177.1389,173.8222,169.9322,163.1016,160.3228,160.3481,163.9652,168.6445,171.056,170.7604,168.8387,163.4044,162.4715,156.4821,156.1301,152.8226,149.5394,148.9181,150.4217,152.2469,155.7838,159.4193,160.4427,156.8545,151.8135,144.8394,138.6695,139.1054,132.5436,133.0401,140.1822,146.1303,156.4008,159.2075,159.397,157.267,148.1621,144.613,142.6916,142.6226,137.2094,136.0901,142.9032,152.953,161.7414,171.3455,172.9646,169.0331,167.4425,162.6293,159.8205,159.463,160.8126
"Maricopa","AZ","Phoenix","04","013",66.3109,66.0015,66.2639,66.4629,66.9694,67.537,67.7399,68.1794,68.36,68.7115,68.6524,68.862,69.198,69.7295,69.8902,69.8909,70.0975,70.6726,71.3885,71.5014,71.8241,72.1754,72.4879,72.7958,73.1703,73.6218,74.1482,74.2537,74.4274,74.8044,75.3214,75.8124,75.9853,76.337,76.4836,76.7781,77.3339,77.9134,78.6298,78.5588,78.9541,79.5496,80.0052,80.1369,80.2435,80.6744,81.2883,81.8526,82.4792,83.0167,83.364,83.4461,83.5439,83.5925,83.9644,84.3068,83.7737,84.2774,85.066,86.0429,86.3583,86.3105,86.7628,87.0949,86.9929,86.823,86.9497,87.2654,87.5772,87.9918,88.4644,88.7745,89.4355,90.1531,90.6475,91.1367,91.3805,91.5215,91.8124,91.7904,92.2707,92.5279,91.7886,91.1968,91.7263,92.7725,94.5425,95.7825,96.6007,96.6469,96.6282,97.0297,97.3042,97.478,98.0993,99.1773,100.3457,101.6163,102.9928,103.8545,105.2564,107.2525,109.6307,112.0076,113.8645,116.1388,118.7649,122.7515,128.1515,134.6195,141.7266,147.7444,152.4454,156.3461,158.7333,161.1845,161.011,162.1857,163.9108,165.5865,167.0926,168.6114,169.1749,168.8229,167.4249,164.6044,163.705,163.3077,162.3194,162.4328,162.4729,163.4868,164.6544,164.3971,162.7625,161.783,160.3263,156.8279,153.1625,150.8304,148.0992,146.4669,144.7015,143.1484,140.9888,140.3952,138.6926,135.617,132.7687,128.1494,125.3769,121.4194,117.7271,114.8328,111.4877,108.5237,105.9268,104.6481,103.5614,101.2916,99.0547,97.2071,95.7201,95.4681,94.1255,92.3644,92.2745,92.8927,93.0489,92.3883,91.0587,89.2174,87.6885,86.4616,85.9608,85.8593,85.9397,84.429,83.7472,83.7317,83.7141,83.2379,89.1171,87.6295,86.3161,85.9104,85.9507,86.2721,85.3835,86.7678,87.5243,89.6147,93.5464,96.8865,98.8791,99.3197,100.0266,100.5985,101.5979,101.2522,101.2013,102.4217,103.4588,106.1633,108.9773,111.7234,113.7329,116.7021,116.2745,115.5832,115.6187,116.191,117.1883,117.4066,117.7847
"San Diego","CA","San Diego","06","073",105.0465,105.0423,105.155,104.5961,104.4759,104.7738,105.3144,104.1801,106.6942,105.8833,105.1126,105.5891,105.9538,106.8722,106.7829,110.0181,110.1584,109.573,109.6534,109.8784,110.5993,111.8121,112.5313,113.6182,115.1029,116.5147,117.7225,119.4214,120.5782,120.6634,120.1625,120.7897,121.0824,122.9625,123.3233,124.7483,126.0494,127.3016,128.7702,130.2595,131.6607,132.3887,132.5042,133.8767,134.1552,135.6563,137.7995,140.1296,142.3041,145.2222,147.6514,149.7396,152.3967,155.0724,156.6277,156.7638,158.5728,159.8673,161.3666,164.666,167.4391,168.2023,171.0317,173.4705,175.5493,176.0783,176.3586,176.5261,177.5326,178.4319,181.6953,185.7897,189.444,194.0826,199.1924,204.5834,208.5089,211.9454,215.4046,217.3773,218.8703,219.1853,221.5559,225.3296,229.652,233.6248,236.0282,239.7175,244.5475,247.0483,251.1066,254.4221,257.7633,261.3243,266.7726,275.3777,285.8858,297.3305,308.3797,316.8372,321.0049,324.5506,326.1529,323.4285,321.9445,325.9957,328.8403,331.2987,333.9029,335.6665,339.4456,342.3769,343.1283,342.103,341.6946,340.3904,337.2906,338.0759,340.8655,342.3145,342.8353,344.3267,342.3393,338.4318,336.3187,331.3964,327.6081,323.6539,321.5551,322.1934,325.4349,326.9509,327.365,326.9984,324.7668,323.7059,322.3513,315.8676,310.8667,309.7177,301.3906,294.1149,286.1973,280.7409,276.7701,278.7597,276.5153,276.2545,271.6665,263.396,253.6589,244.0607,236.094,229.4969,223.3186,220.7844,223.6907,228.2432,230.4843,230.4965,232.5234,232.8028,230.7908,227.7878,226.8195,222.8728,223.0097,229.9958,230.2931,233.8832,233.4214,232.8308,230.4139,228.068,225.4226,223.6521,220.7302,216.6784,214.6185,217.4343,218.3988,220.9398,222.2903,219.767,216.8914,213.8675,209.7876,207.7423,206.3817,208.3076,206.9657,207.969,213.1854,219.0582,219.6565,222.2472,222.1704,223.3668,224.2413,228.5007,231.5143,231.2172,235.6883,243.3569,253.1992,260.4928,267.8386,271.6432,275.2582,276.7916,274.8385,274.0043,273.5398,276.7736,276.8069
"Orange","CA","Los Angeles","06","059",117.838,118.8081,119.7639,120.1411,119.9814,119.717,119.2729,119.3013,118.9163,118.6602,118.4438,119.0159,120.0209,121.0563,121.9851,122.6765,123.3535,124.1759,125.1664,125.6604,125.1212,126.3407,127.7333,131.0754,133.0613,134.9963,138.0361,140.6944,141.7177,142.2039,141.8715,142.1464,142.4015,142.4665,142.5077,144.3543,146.4137,149.2016,151.2942,152.1336,153.1049,153.0469,152.1577,153.0985,153.7589,154.6689,155.5412,158.0219,161.2755,163.8849,165.6993,166.2415,168.4342,170.1846,171.5511,172.8061,173.1387,173.9345,175.8423,178.6564,181.1527,183.9691,186.5932,188.2506,190.92,192.5941,192.5839,192.9404,193.1967,194.7786,197.7731,201.1878,204.8282,209.5317,214.7671,219.6071,224.5537,227.3077,229.2579,230.8207,231.4399,232.8401,235.2392,239.7103,245.0889,249.9822,254.7709,259.5306,264.9439,269.8613,274.5884,279.0459,283.8604,290.7115,298.2105,308.1628,322.1397,337.0991,347.7335,353.6508,352.9293,348.781,346.0202,344.8636,345.6946,347.8495,352.5847,358.532,367.2834,375.9249,384.3864,392.2023,398.1491,402.1327,404.1333,406.5579,406.6749,409.1583,411.7998,413.1404,415.0133,415.3495,415.6865,413.3421,410.7577,409.0407,406.2646,400.2527,395.6989,398.3173,395.6357,395.4761,396.1782,396.8888,396.5969,393.555,388.2305,380.0343,372.6273,366.3502,356.9056,346.7502,336.8487,334.7558,330.5382,325.8083,320.4127,315.208,310.0165,305.2797,300.7503,293.0113,285.8229,281.5736,279.3707,276.3394,274.1375,278.8645,281.071,281.8746,279.8191,286.5032,287.0017,287.9069,284.2111,282.6271,280.1482,282.6842,284.6909,288.3557,287.9108,287.5091,287.4136,284.7402,281.7314,278.6504,277.7457,276.821,274.1975,272.838,273.4152,272.1071,269.7225,268.4165,268.4473,266.247,265.4631,261.8069,257.9051,256.8654,256.5347,259.0241,264.5511,267.088,271.7057,275.4285,276.0928,279.4352,281.7757,285.9772,288.5309,288.3808,292.3201,301.229,311.4528,320.8785,327.5743,331.5607,334.9189,338.8396,339.8922,339.1669,339.3055,331.3443,334.6361
"Kings","NY","New York","36","047",120.3707,120.9445,116.5413,119.9479,126.2093,129.0194,124.2272,120.1603,118.9276,123.7845,120.6221,118.7993,119.0161,121.0992,127.3026,129.016,129.3924,130.2374,131.2279,131.7016,128.202,123.2014,124.569,127.251,129.9424,133.6212,134.2523,139.5836,144.619,147.5452,144.0156,141.2087,135.7159,136.6184,137.5413,138.6953,140.3704,143.1228,142.2507,146.6287,146.5735,143.4961,146.9103,151.063,153.6772,155.9472,151.3113,151.1525,152.1,157.4788,165.1691,174.6646,173.176,172.2636,178.1807,179.2186,175.2073,171.3345,169.2394,176.9738,183.4895,,,,,,,183.518005540166,,,,,,,,,,,,,,,,,,230.049532195927,238.8805,260.0307,255.1025,261.4226,272.9066,271.5345,271.0204,271.546,269.6545,273.5107,268.8678,274.776,290.7724,297.5961,315.9598,311.4208,307.7547,306.8546,313.4128,315.595,335.8277,350.4701,361.9115,364.6904,369.1327,363.8445,362.5768,349.7673,347.1882,334.1595,345.5437,341.7367,341.0385,362.9312,368.9835,363.5904,367.8152,369.4233,371.979,376.7904,364.4966,366.0094,359.1416,368.4258,365.3102,376.5802,369.3839,381.6961,393.9296,405.2308,398.0494,416.4078,420.0776,419.2894,396.7309,381.5406,389.6164,377.221,382.8588,389.0794,395.5466,400.1122,397.2014,386.778,380.3055,369.8504,367.2057,365.4613,361.1073,347.2564,348.4855,367.2964,350.8257,341.5864,345.4949,356.6593,360.8204,370.3606,428.6261,423.2408,434.8753,462.7288,477.425,472.2749,476.4428,463.2564,472.6472,457.977,424.4653,404.9562,408.2052,453.9904,500.6067,502.5258,502.6612,495.5456,532.8732,521.8428,515.06,509.1743,479.4917,456.8559,428.4299,404.233,408.247,401.3419,396.5812,427.373,459.295,484.1225,477.2968,463.0558,439.2914,444.6871,452.3598,448.4858,435.3783,435.1445,438.6213,451.466,470.6931,497.6012,509.9205,494.3693,501.1866,490.6644,503.609,512.2592,511.3
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",68.52,68.1745,68.3234,68.851,69,69.2,69.2085,69.2567,68.5224,67.6572,67.8386,68.1816,68.6776,69.5271,70.2469,70.2809,70.1985,70.2803,70.5516,70.9631,71.3951,71.0471,71.3293,72.4079,72.7501,72.7782,73.0462,73.3279,73.1088,73.1472,73.1346,73.3009,73.491,73.296,73.4701,74.3248,74.8643,75.261,75.7225,76.5119,77.0432,76.8632,76.7287,76.583,76.7485,77.2825,78.0542,78.7213,79.9822,80.7614,80.8038,81.2027,81.3628,82.008,82.5144,82.7507,83.4242,82.8961,83.4307,82.9083,84.17,86.0055,87.423,88.6306,89.7012,90.6568,90.4798,90.9469,91.5105,92.5782,93.7596,95.3355,96.8724,98.4825,99.8229,100.5845,101.5577,102.6123,104.9985,106.9364,108.6051,108.7581,109.1482,111.2458,112.4041,113.5891,115.9738,117.7744,119.6858,121.3613,122.7025,123.622,124.1478,125.5367,126.5455,129.3323,132.6976,138.1765,141.8049,142.4273,143.2005,146.2291,147.1603,150.7299,154.3081,157.5767,160.6102,166.8948,172.8548,176.3949,179.4521,182.2005,185.7362,192.3388,195.6694,198.7316,200.409,204.8585,209.107,211.8856,213.1405,212.7009,211.7519,212.671,214.9825,215.9433,216.6994,219.2612,222.8692,224.6632,223.6857,223.3919,221.4729,224.2048,226.7044,226.2361,227.7634,226.3638,224.184,218.4632,217.3328,225.1149,234.0867,228.1126,222.477,213.4203,209.6954,208.8905,203.3608,192.7805,182.6326,174.3406,170.2769,161.7793,154.6717,152.9339,148.0592,142.5823,140.9755,140.9295,138.0998,154.4533,150.1169,159.2668,155.7407,146.2755,140.3667,136.7912,134.3238,132.8949,130.7702,127.6436,121.6523,117.8958,118.9593,117.244,116.0842,114.0008,118.5097,116.4714,116.6148,118.3192,119.9669,118.7272,116.1753,111.219,108.7445,109.6059,110.7101,110.3673,109.548,111.4752,113.0526,116.7271,119.6495,123.0288,122.3361,123.213,123.2343,124.882,129.0824,129.8674,130.6616,134.7143,142.6941,144.7308,145.9266,146.2603,148.3664,150.3569,148.7821,150.4734,152.421,151.5965,151.1977
"Dallas","TX","Dallas-Fort Worth","48","113",,,,,,,,,52.9309904153355,53.2021,54.0628,54.7559,55.3154,55.5904,55.6018,56.0598,56.2276,56.2168,56.0164,56.0405,55.8858,55.7249,56.1218,56.7924,57.364,57.6723,58.1052,58.5213,58.875,58.7647,59.3196,59.3848,59.2192,60.1377,61.1725,61.9493,62.3745,63.2391,64.027,64.5173,64.5117,64.7301,64.5984,65.0889,65.246,63.7058,62.8299,63.4429,65.1152,65.8517,66.2795,66.87,67.6949,67.7844,68.1283,67.4895,67.8477,66.4359,66.4501,67.6461,68.7384,69.3803,70.1064,70.5299,70.2267,69.9383,69.7399,70.1767,70.7514,70.6664,70.869,71.5641,72.429,73.2447,73.5222,73.8043,73.4183,73.3228,73.0933,72.8581,73.0577,72.7956,73.2275,73.6222,74.2171,75.4898,76.1772,76.0731,76.2718,76.0625,74.831,73.7507,72.8333,74.6542,77.617,79.3433,80.4132,80.8164,81.4597,81.6642,81.2017,80.1851,79.4449,79.4602,79.9366,79.6122,79.4371,81.0064,81.9805,83.2462,83.5832,83.2768,82.2824,81.9599,81.7106,81.5835,81.8496,81.3443,81.5317,82.3149,83.526,85.5247,85.9944,86.5151,85.3175,83.9239,83.3535,83.717,83.9108,82.8232,83.1558,84.5891,87.5524,90.3343,91.045,91.33,91.3049,89.5348,89.1564,89.1867,89.0204,84.0948,81.7716,82.6021,85.2272,87.0782,88.3635,87.5161,85.8456,82.6498,79.8225,78.2223,76.7118,75.3167,76.4797,76.7136,76.8822,80.3711,82.8067,82.3596,80.0235,79.1007,79.369,79.5959,77.9896,75.0288,74.2557,76.3233,77.6511,77.3289,77.3441,77.1156,74.0224,73.4232,74.4976,72.9958,75.6068,73.8343,75.2585,74.5785,73.4906,73.7104,75.6522,76.1383,75.0109,72.8683,69.1446,68.1129,68.8673,67.4163,67.3738,71.0556,75.4134,80.0524,81.4603,81.208,79.2359,77.9527,76.6236,76.3425,77.6638,74.7357,75.1527,80.2194,85.9122,90.7074,93.0432,92.0687,91.7752,87.273,84.3188,84.548,86.0766,82.9451,82.2197
"Queens","NY","New York","36","081",116.0066,117.0022,118.2597,117.0452,122.0559,122.0296,125.8222,141.0544,134.235,126.9575,122.5323,121.1223,122.9644,120.8649,120.64,120.1078,121.2818,124.5179,124.4182,127.257,126.7061,125.9146,127.9461,127.0223,126.1554,123.6777,125.9263,128.0286,129.1415,131.1787,132.3274,136.2005,137.2033,139.0969,139.2051,139.8621,138.9261,135.379,138.0909,141.7116,145.0488,147.5157,151.0473,150.2636,150.8189,149.2235,149.0852,151.7735,152.2804,147.7116,149.505,154.7774,160.6601,163.4062,163.5971,163.7604,164.6099,168.1006,168.209,168.0846,171.0243,,,,,184.977578475336,,,,,,,,,,,,,,,,,,,,242.469879518072,236.9423,235.9148,238.1878,239.3917,232.6505,238.4416,249.0538,255.3696,262.5756,259.308,258.0364,259.0982,255.0584,259.4283,268.875,276.5398,278.4384,281.7508,283.0529,285.7787,288.6373,296.8757,299.5681,304.6425,311.8521,317.6145,322.6842,331.7756,335.1127,338.7517,339.3011,338.2272,340.0232,343.0959,342.9205,341.6539,351.3522,356.0042,362.5387,365.2545,366.1378,365.2227,363.3528,359.2169,360.9384,361.4313,370.5383,370.4785,373.2047,368.9139,373.8186,380.4891,376.2902,378.0037,381.2327,375.7649,365.5719,360.3824,358.6126,362.5964,358.9744,348.4503,343.3435,346.7602,346.7891,339.276,338.2126,337.4676,334.3356,325.5747,320.1569,317.1453,316.8937,326.1134,330.8677,341.3558,337.7696,338.5634,337.7302,336.7589,335.1033,339.2491,346.5442,344.2984,342.9106,339.299,330.8267,336.2611,334.9389,327.6554,319.5574,316.8097,333.6615,344.6806,365.5043,358.0056,363.9175,384.4893,386.0312,380.3381,378.2413,373.9754,361.5835,354.9516,349.1836,350.0989,359.7449,370.958,369.3461,385.5491,389.9503,388.084,386.9128,390.9953,381.0241,377.8456,384.748,390.3778,391.8144,391.6168,394.461,395.3056,403.9963,414.2945,410.4727,403.6512,401.4439,408.3661,416.1312
"Riverside","CA","Riverside","06","065",72.8582,72.6863,73.0469,72.2637,71.732,72.0183,71.9431,72.3246,72.206,71.1616,71.9391,72.0333,71.6778,72.0835,71.7492,71.9432,72.5476,73.0876,73.6332,74.3429,74.4433,74.2533,74.783,75.4271,75.9911,77.1129,77.5376,78.3374,78.5926,78.6897,78.4048,79.5063,80.2842,80.7933,80.5936,81.4407,83.0176,84.1425,85.5178,86.1611,86.8993,87.5754,87.9617,87.9184,88.104,88.6852,89.8556,91.3289,92.391,94.2221,94.2707,95.3978,95.795,96.7759,97.4381,98.3024,98.8402,98.7813,99.7019,100.9766,102.3911,102.39,103.2632,104.1477,104.6214,104.7841,104.5392,104.6188,105.4324,106.1922,106.8926,108.7521,111.1776,113.5859,115.0095,116.3969,118.1112,118.6564,120.3305,121.3002,122.6304,123.5495,125.1484,127.9699,130.3303,132.6314,135.0518,136.3018,139.3408,141.3265,143.8497,145.6529,146.8479,149.5264,153.8862,157.9115,164.0805,170.958,176.3999,181.8693,185.6853,187.5353,190.1327,190.9125,190.9525,194.579,198.7455,203.5038,206.5033,210.7941,213.4606,216.172,219.544,222.2624,224.9216,227.234,225.8898,223.8316,223.8688,224.4352,227.0487,228.6389,228.7709,228.9586,228.7135,225.2791,224.3545,222.0516,217.7585,217.1017,218.364,215.5238,216.495,217.119,216.3373,212.4804,208.9299,200.3753,190.0037,184.953,179.0957,175.7193,171.6933,167.1692,165.6229,163.5334,158.9842,153.018,147.517,138.9956,133.8936,131.2054,128.4673,123.5071,121.9906,117.8884,116.6649,115.3297,114.8847,113.3703,112.4183,110.8636,111.8083,111.5078,111.5188,110.9996,110.7461,112.2023,113.0696,113.5539,112.6212,112.3408,111.7388,111.7467,111.7484,112.6037,113.3628,112.4544,111.4769,112.3346,113.154,113.7291,112.3111,109.9394,108.0581,108.5248,107.2832,107.3674,106.4105,106.26,106.8886,109.5449,111.6308,113.1019,113.1176,113.1297,113.7147,114.271,114.6198,115.8247,118.9323,121.4922,122.6186,126.7902,132.4163,137.1654,141.0342,143.115,145.1568,147.715,147.3164,149.2904,150.5581,152.4363,153.9361
