"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02"
"Los Angeles","CA","Los Angeles","06","037",26.3178,29.6843,33.2518,34.7554,36.6623,36.8433,35.7173,33.7859,32.5237,30.757,27.2175,31.517,33.443,33.3225,35.7057,31.2805,36.8848,36.8829,33.7306,33.6899,31.8299,31.7839,28.688,28.0083,25.4306,24.1824,22.2697,21.8705,21.9324,21.4641,20.5816,18.3961,17.99,15.8784,17.0273,15.688,16.5666,18.2636,20.2804,23.5637,27.0365,28.5873,28.1344,27.6236,27.2141,26.346
"Cook","IL","Chicago","17","031",38.0394,43.863,44.9008,43.419,42.5907,41.6278,40.1557,38.4079,37.3647,34.4867,30.9909,37.144,39.5875,40.9787,42.1614,39.4039,42.798,42.1256,40.0324,39.3678,36.7034,38.9602,37.4484,38.3055,37.5282,38.838,38.112,39.0067,40.4187,39.3439,37.2978,33.8348,33.1768,29.7463,31.7806,29.2796,28.9398,29.2887,30.7961,32.5133,34.6572,36.366,34.9765,33.4779,33.5596,31.3144
"Harris","TX","Houston","48","201",34.3572,41.1421,45.2633,46.4546,41.3691,41.8318,38.0043,35.5996,35.6863,31.8772,28.0034,36.4902,37.3207,35.1062,36.7393,33.7918,38.9824,37.0488,36.1067,35.2674,33.3434,33.5239,31.0952,32.4375,32.6032,35.1061,35.0861,35.0621,35.1797,33.7183,31.4119,27.848,26.8045,24.2553,25.6816,23.0834,23.604,24.9092,26.1003,28.6352,30.0367,29.9043,28.9416,26.182,25.3762,22.558
"Maricopa","AZ","Phoenix","04","013",33.8782,37.6913,41.8665,44.9869,44.9672,45.9924,45.2255,43.6077,41.6759,35.7677,30.5332,31.687,30.4981,26.7364,26.1954,21.8563,24.7712,24.6458,23.0501,23.4285,22.8386,22.8533,22.0902,22.6186,22.2154,22.2374,22.2474,23.883,25.7078,28.2812,29.2052,28.8564,31.6219,30.9329,31.9973,28.814,28.4161,28.5205,30.14,34.3783,37.7955,42.0958,40.7774,41.1624,43.0183,44.7612
"San Diego","CA","San Diego","06","073",28.7088,34.0274,38.1572,39.5258,40.1263,40.2462,39.78,38.5157,38.2146,33.3963,28.2962,33.5255,37.0372,36.8101,38.8096,34.0813,35.2373,34.943,33.7263,32.3873,30.5178,31.2889,28.0263,28.1805,26.343,26.114,25.041,25.2453,25.0936,24.877,23.099,21.654,21.0627,19.7558,20.29,19.0465,19.8707,21.6813,24.4039,30.7525,34.2528,37.0895,34.7819,32.8523,32.3963,31.0309
"Orange","CA","Los Angeles","06","059",33.379,36.0331,39.7568,42.4091,44.7108,43.0043,40.7666,39.7352,38.2531,34.8665,30.4166,36.6888,37.9476,37.6363,39.3727,36.1935,40.1434,39.502,36.4324,34.9298,32.735,32.1639,28.8479,27.3043,25.3344,24.9184,24.1958,24.7236,24.3852,23.2448,21.6417,18.7445,16.1933,14.0175,16.1652,16.7447,18.0007,21.0958,25.4201,31.593,35.8866,36.4856,34.462,32.4168,30.9358,30.4888
"Kings","NY","New York","36","047",19.9387,24.4842,23.1816,23.4106,22.6969,23.1338,23.4059,21.903,20.4421,17.233,15.6057,20.2433,21.7319,23.2109,21.7007,18.32,20.1022,19.0101,18.4541,17.268,15.5149,14.8468,14.0725,13.511,14.7305,16.9412,17.6279,17.1429,16.5193,16.1601,14.8593,13.8051,13.7016,12.771,12.9658,11.9899,12.1658,13.4121,13.5297,13.7035,14.192,14.5553,11.7257,12.349,13.5514,13.4173
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",23.1543,26.0949,27.76,30.6719,30.9012,29.3798,28.9419,27.4899,25.3689,18.6193,16.453,17.3358,21.8434,21.2336,20.1379,17.4973,17.823,16.245,15.4835,16.1054,16.5784,16.7395,16.9428,17.7626,17.7192,17.557,16.2502,14.3998,15.3873,14.8422,15.2602,14.5691,15.1818,15.088,16.2095,15.0578,16.4601,16.0365,16.1279,15.9771,17.2948,19.3959,19.9773,21.1744,22.8914,23.8469
"Dallas","TX","Dallas-Fort Worth","48","113",37.6429,42.0515,44.6276,45.731,41.6821,40.2694,37.7038,35.5926,35.1522,31.7184,27.7703,31.4109,37.2495,37.5059,39.0647,32.3215,39.8605,37.0534,34.4592,33.6501,32.2638,32.2414,31.2843,32.8764,33.0455,34.8078,34.7584,34.8118,35.7692,36.3269,34.2863,31.0098,29.4092,25.7052,28.5097,26.7253,26.2384,27.2516,28.1564,30.3181,33.8811,34.9372,33.4499,31.6776,30.9334,28.7008
"Queens","NY","New York","36","081",23.8069,29.2755,27.1092,27.8418,27.3531,26.6292,25.874,24.114,22.7,18.864,17.2576,25.5632,28.5289,26.6247,27.766,23.2397,25.9733,24.2767,23.181,22.8157,20.8046,20.0245,18.2055,18.2502,18.0825,19.7909,20.2407,20.0195,20.1797,18.6058,18.2769,17.1316,16.1867,13.3588,15.1719,14.6319,13.8825,15.1539,14.4085,15.2053,15.6139,15.6446,13.9541,14.0604,14.0132,11.8143
"Riverside","CA","Riverside","06","065",24.1976,27.6165,29.5169,29.5066,33.3933,35.0946,35.5543,36.1472,34.8777,32.6556,29.9205,30.5483,31.9068,30.6939,30.4101,25.3661,30.19,31.4199,30.6901,32.1015,31.5145,32.23,29.9163,28.7065,25.8326,23.3706,20.5149,18.9634,18.8534,18.9657,19.3413,20.0683,22.7555,22.9907,24.3048,22.1864,20.6217,19.8082,20.557,23.772,26.0409,27.9672,28.2108,28.6264,31.0226,32.5705
"San Bernardino","CA","Riverside","06","071",22.797,26.0062,29.22,30.8137,31.2347,31.5117,30.7768,32.3791,32.2396,30.1734,26.6162,29.0099,29.1932,29.3179,31.2613,28.2921,32.0401,31.2727,29.2763,30.4464,28.3658,29.0952,26.0345,25.602,24.4421,24.7679,23.4353,22.5187,22.6018,21.8155,20.4572,20.4077,20.1995,18.2876,18.9604,17.8989,18.0351,18.859,19.7799,23.1455,25.8779,26.8175,25.6053,25.0768,26.9574,27.4977
"Clark","NV","Las Vegas","32","003",18.7775,20.7428,26.544,30.1347,32.4972,35.0423,34.234,32.2273,37.4554,31.8978,28.044,31.032,29.6797,28.9249,32.8831,28.1899,31.9773,31.9106,29.2514,29.3517,26.6337,24.813,20.8832,17.972,15.1949,13.4312,13.271,13.3616,14.0921,14.3146,15.4787,13.9774,15.1269,13.6716,13.9493,12.8696,12.9783,13.9882,15.2983,19.1119,22.993,26.0448,26.3515,27.0899,29.548,28.1842
"King","WA","Seattle","53","033",41.0789,46.1535,47.2855,46.344,44.9676,43.8588,40.9944,38.6463,39.6158,37.5039,33.1484,38.7042,39.0795,38.9021,41.6163,34.7275,40.4686,40.8028,38.6804,37.8641,36.3788,35.135,29.5055,27.5407,27.1705,28.0221,26.8484,27.2283,28.2571,28.0526,25.735,23.3929,23.1445,19.522,20.0795,18.6508,18.9437,20.5353,22.6009,26.0757,29.3603,30.4945,28.9859,27.8571,25.9061,23.2787
"Wayne","MI","Detroit","26","163",32.125,37.6797,38.9174,39.7928,36.5127,36.737,35.1338,35.4728,34.3743,32.1122,28.1258,26.1876,31.4569,32.6609,34.2331,30.3511,33.9999,32.6789,31.8199,33.3356,32.2583,33.4244,29.9736,30.0386,29.3364,31.0183,29.3018,29.2473,30.584,29.9507,30.0669,28.0082,27.8865,27.1224,27.6683,25.5375,25.4642,26.1988,28.6977,31.8459,33.2209,35.7838,35.4294,34.7746,35.3943,33.098
"Tarrant","TX","Dallas-Fort Worth","48","439",36.9201,41.5698,44.0779,46.7166,39.7232,38.8731,37.9523,35.3202,35.2004,31.1761,27.6022,32.1867,37.0354,33.2829,36.8397,31.0924,38.9033,36.761,34.1176,33.7387,32.5548,33.8678,32.3667,34.0749,34.776,37.9241,38.5132,38.2901,38.9723,38.246,35.0208,32.3774,31.0985,28.1832,29.8571,27.7563,27.2523,29.8623,32.1635,34.818,38.5146,36.3482,34.4419,32.58,31.2371,28.839
"Santa Clara","CA","San Jose","06","085",18.2661,20.5613,35.3358,33.919,35.7019,36.7608,34.9816,33.5568,32.3009,28.0504,24.161,26.9728,29.4006,29.7316,31.8709,27.6508,32.6199,31.3459,28.9013,27.6923,23.5481,21.7517,17.7173,16.3617,15.8781,17.6063,17.5865,18.6293,17.663,16.4482,15.1845,15.7411,13.7638,12.5117,12.4234,11.7437,12.4011,14.5254,17.4576,21.0582,23.338,22.7967,20.9215,18.8742,16.8121,14.7617
"Broward","FL","Miami-Fort Lauderdale","12","011",18.1205,21.0415,22.06,23.0006,25.0362,25.7711,25.5451,26.0688,23.8864,19.8841,18.7771,20.7217,23.2627,21.5432,20.5585,17.9537,18.9426,17.8727,17.6902,18.793,19.6766,19.0543,17.3794,19.0124,18.1635,20.2323,19.331,17.178,19.2923,17.2036,18.5105,17.13,19.1306,18.2926,19.5282,17.6214,17.9104,17.8946,17.7106,18.1072,20.4419,23.2079,21.0306,23.5099,25.9295,26.6183
"Bexar","TX","San Antonio","48","029",30.0337,36.6072,40.0219,44.1615,36.5692,36.8545,31.3806,31.442,30.2817,27.5864,24.8301,27.8255,31.6076,29.8447,34.1024,30.648,37.5206,35.3725,31.6913,31.5743,31.0121,32.1108,30.0923,32.828,33.7636,36.9965,35.7306,36.0513,37.2464,38.8598,36.8803,34.3285,31.2683,27.4781,30.3666,28.6811,28.6998,29.5752,31.4902,34.0186,34.5982,32.8312,31.2989,28.0436,27.4986,24.8996
