"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02"
"Los Angeles","CA","Los Angeles","06","037",1.488,1.49,1.49,1.488,1.49,1.486,1.484,1.48,1.484,1.488,1.49,1.49,1.49,1.488,1.486,1.486,1.488,1.494,1.504,1.516,1.52,1.52,1.518,1.518,1.524,1.528,1.534,1.54,1.55,1.552,1.552,1.548,1.548,1.55,1.558,1.564,1.57,1.572,1.576,1.58
"Cook","IL","Chicago","17","031",1.108,1.112,1.108,1.1,1.09,1.098,1.096,1.096,1.092,1.094,1.1,1.102,1.11,1.122,1.138,1.152,1.162,1.154,1.15,1.146,1.152,1.154,1.154,1.158,1.152,1.146,1.14,1.14,1.148,1.156,1.17,1.18,1.186,1.186,1.188,1.19,1.188,1.19,1.196,1.2
"Harris","TX","Houston","48","201",0.728,0.726,0.724,0.724,0.726,0.726,0.726,0.722,0.72,0.718,0.714,0.712,0.71,0.712,0.716,0.718,0.722,0.726,0.73,0.734,0.738,0.742,0.746,0.75,0.752,0.756,0.758,0.76,0.764,0.766,0.768,0.772,0.778,0.782,0.786,0.792,0.798,0.802,0.806,0.81
"Maricopa","AZ","Phoenix","04","013",0.708,0.71,0.712,0.716,0.72,0.724,0.724,0.726,0.726,0.726,0.726,0.728,0.732,0.732,0.73,0.726,0.726,0.726,0.73,0.734,0.736,0.738,0.74,0.74,0.742,0.742,0.742,0.742,0.746,0.744,0.742,0.74,0.74,0.74,0.74,0.74,0.742,0.742,0.744,0.748
"San Diego","CA","San Diego","06","073",1.348,1.348,1.346,1.344,1.348,1.352,1.354,1.354,1.352,1.35,1.346,1.346,1.348,1.35,1.354,1.354,1.356,1.356,1.358,1.362,1.364,1.366,1.368,1.37,1.372,1.374,1.378,1.38,1.386,1.386,1.388,1.39,1.394,1.402,1.41,1.414,1.416,1.42,1.422,1.428
"Orange","CA","Los Angeles","06","059",1.504,1.506,1.508,1.512,1.522,1.528,1.534,1.536,1.54,1.544,1.552,1.558,1.564,1.568,1.572,1.574,1.576,1.578,1.582,1.592,1.598,1.6,1.598,1.598,1.602,1.606,1.61,1.614,1.624,1.63,1.632,1.634,1.638,1.642,1.65,1.656,1.664,1.672,1.678,1.684
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",1.14,1.142,1.144,1.152,1.164,1.17,1.168,1.166,1.168,1.17,1.176,1.184,1.192,1.196,1.202,1.2,1.204,1.212,1.222,1.236,1.24,1.242,1.242,1.244,1.248,1.254,1.258,1.262,1.272,1.274,1.28,1.284,1.292,1.302,1.31,1.318,1.324,1.332,1.34,1.348
"Dallas","TX","Dallas-Fort Worth","48","113",0.742,0.754,0.764,0.764,0.762,0.756,0.752,0.75,0.748,0.748,0.748,0.748,0.754,0.75,0.75,0.75,0.752,0.76,0.766,0.772,0.776,0.778,0.782,0.784,0.79,0.788,0.786,0.79,0.796,0.8,0.802,0.804,0.806,0.808,0.81,0.814,0.822,0.822,0.822,0.824
"Queens","NY","New York","36","081",,,,,,,,,,,,,,1.346,1.368,1.374,1.386,1.4,1.426,1.458,1.486,1.504,1.496,1.484,1.47,1.48,1.486,1.49,1.502,1.502,1.504,1.504,1.522,1.546,1.572,1.582,1.586,1.59,1.604,1.614
"Riverside","CA","Riverside","06","065",0.92,0.924,0.924,0.932,0.94,0.948,0.954,0.958,0.962,0.964,0.962,0.96,0.962,0.962,0.96,0.956,0.952,0.95,0.948,0.948,0.946,0.946,0.948,0.95,0.954,0.956,0.96,0.96,0.962,0.96,0.958,0.958,0.96,0.962,0.966,0.968,0.972,0.972,0.974,0.976
"San Bernardino","CA","Riverside","06","071",0.952,0.954,0.952,0.95,0.946,0.944,0.94,0.938,0.94,0.942,0.94,0.936,0.932,0.928,0.926,0.926,0.926,0.926,0.93,0.93,0.93,0.93,0.932,0.934,0.936,0.938,0.942,0.946,0.95,0.95,0.95,0.95,0.952,0.95,0.952,0.954,0.958,0.958,0.958,0.958
"Clark","NV","Las Vegas","32","003",0.74,0.74,0.74,0.742,0.74,0.74,0.736,0.734,0.734,0.734,0.732,0.73,0.728,0.726,0.724,0.72,0.718,0.718,0.72,0.72,0.72,0.718,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.718,0.72,0.722,0.722,0.72,0.72
"King","WA","Seattle","53","033",0.998,1,1.004,1.006,1.012,1.014,1.016,1.022,1.026,1.028,1.028,1.03,1.034,1.038,1.042,1.046,1.048,1.052,1.058,1.064,1.066,1.068,1.07,1.07,1.072,1.074,1.08,1.086,1.096,1.1,1.102,1.104,1.108,1.116,1.128,1.136,1.146,1.152,1.154,1.158
"Wayne","MI","Detroit","26","163",0.78,0.78,0.776,0.768,0.762,0.762,0.766,0.774,0.776,0.78,0.778,0.774,0.768,0.77,0.774,0.778,0.782,0.786,0.786,0.78,0.772,0.766,0.766,0.77,0.768,0.77,0.768,0.768,0.77,0.766,0.762,0.758,0.764,0.766,0.768,0.768,0.766,0.764,0.762,0.766
"Tarrant","TX","Dallas-Fort Worth","48","439",0.708,0.71,0.714,0.718,0.724,0.726,0.728,0.726,0.726,0.726,0.724,0.72,0.722,0.724,0.724,0.724,0.724,0.728,0.732,0.738,0.74,0.744,0.746,0.75,0.754,0.756,0.756,0.756,0.758,0.758,0.758,0.758,0.762,0.764,0.77,0.774,0.782,0.784,0.786,0.786
"Santa Clara","CA","San Jose","06","085",1.578,1.582,1.58,1.572,1.586,1.6,1.616,1.628,1.632,1.64,1.642,1.646,1.65,1.656,1.66,1.662,1.686,1.712,1.732,1.75,1.754,1.76,1.77,1.778,1.786,1.79,1.796,1.8,1.826,1.808,1.792,1.786,1.8,1.81,1.82,1.83,1.84,1.854,1.874,1.9
"Broward","FL","Miami-Fort Lauderdale","12","011",1.014,1.01,1.014,1.022,1.032,1.04,1.046,1.048,1.05,1.056,1.064,1.074,1.084,1.092,1.096,1.1,1.104,1.11,1.118,1.122,1.126,1.128,1.128,1.13,1.13,1.138,1.144,1.148,1.15,1.15,1.152,1.158,1.166,1.172,1.174,1.176,1.178,1.184,1.186,1.19
"Bexar","TX","San Antonio","48","029",0.67,0.674,0.676,0.68,0.68,0.68,0.678,0.676,0.678,0.676,0.678,0.68,0.684,0.684,0.686,0.686,0.688,0.692,0.696,0.702,0.706,0.71,0.712,0.71,0.714,0.714,0.718,0.72,0.724,0.726,0.728,0.728,0.728,0.728,0.732,0.736,0.74,0.738,0.74,0.74
"New York","NY","New York","36","061",,,,,,,,,,,,,,4.234,4.296,4.362,4.462,4.52,4.562,4.554,4.568,4.566,4.556,4.53,4.47,4.422,4.39,4.386,4.444,4.456,4.462,4.444,4.476,4.486,4.476,4.44,4.38,4.368,4.386,4.448
