"RegionName","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02"
"United States",229900,225000,220000,219900,217000,214990,214130,217800,210000,209900,207000,207800,203925,199900,199900,199900,199900,199900,199000,199900,199673,198900,194900,194900,192500,190000,185900,184500,185900,186300,182900,189000,189900,189000,188900,185053,185000,182900,179900,179900,180000,184900,185000,188000,189000,187900,187000,185000,174999,179900,179900,179900,184900,189900,195000,199000,199500,199000,199000,199000,198900,195000,194900,190000,199000
"New York, NY",425000,425000,419000,413000,400000,399888,409990,410000,409000,399000,399900,409900,399999,399000,399000,395000,389990,389900,389999,399000,399000,395000,389900,389999,389975,389000,379999,379000,379000,385000,379999,384880,390000,387000,379000,375000,379000,379000,378500,375000,379000,379900,389000,389990,389000,389000,383000,385000,380000,379500,375000,375000,380000,389000,394000,399000,390000,389000,384900,385000,385000,393000,389999,395000,399000
"Los Angeles, CA",409000,399000,389900,381533,379000,380000,385000,398800,399900,399900,399000,415000,408000,399000,399900,400000,399900,399900,400000,409000,416000,405000,410000,399000,399000,399000,385000,379000,380000,379000,375000,380000,385000,385000,380000,375000,373000,368200,359000,359900,359000,369000,379000,389900,399000,399999,407900,401000,399900,410000,417000,425000,445000,469900,495000,509000,525000,525000,525000,525000,520000,500000,505000,499000,505900
"Chicago, IL",252900,249900,244900,245000,239900,239900,239900,244900,239900,238900,233500,236000,230000,225000,225000,220000,222400,224500,224000,224900,224900,219900,219000,209900,210000,209000,199400,194900,195995,197000,198500,199900,199500,199000,194900,189900,189000,180500,179000,179000,179000,179900,182900,184900,184900,179900,179000,175000,170000,175000,169900,170000,179000,184900,190000,199900,199999,199900,199900,199900,199500,195000,190000,189000,199900
"Dallas-Fort Worth, TX",184900,180000,179900,179900,179900,184900,183900,197500,189000,188150,184900,185000,180000,180000,180490,179750,175368,176990,179000,179900,180000,179900,174900,179900,179950,179990,175500,174500,179900,179000,169900,175990,180475,182000,176550,175000,175900,175000,175000,175000,179000,177970,179900,184900,185000,184000,181990,179900,179000,182000,185000,183990,186900,199000,200000,207000,208990,205000,204900,202900,204990,199950,204900,200000,209900
"Philadelphia, PA",275000,270000,269900,265000,264900,269000,259900,267900,254000,249900,249900,249900,249900,245000,244900,239900,240000,240000,239900,240000,239900,239000,234900,235000,230000,230000,225000,224900,225900,229000,224900,229000,229900,224900,224800,219000,215000,212500,209467,209900,209900,214900,214900,214900,214000,209900,209000,200000,199900,199900,199000,197000,199900,204900,210000,219900,219990,214900,209900,208999,208000,204900,208000,199900,200000
"Houston, TX",155000,151990,153000,154900,159442,169900,172000,179000,178990,179900,178000,175990,173900,169900,170000,169000,169900,169900,169900,169991,170000,169777,164950,174900,174900,175000,174900,172500,177500,177921,169990,174900,179900,175000,175000,166490,168999,165000,167000,167500,169500,169999,172990,175000,176000,175000,176864,175399,174900,178900,182990,183900,190000,196000,199500,200990,205000,204900,205000,208000,214990,209900,210000,214000,220654
"Washington, DC",320500,309041,305000,299950,299900,299999,300000,319900,315000,309000,300000,300000,300000,299900,299900,299900,299900,299900,309900,314900,313000,305000,299900,299000,299990,300000,295000,289000,299000,299900,299990,314500,325000,324900,312182,314990,315000,309000,300000,309000,315000,329000,339900,349900,349990,349000,344990,345000,339900,347000,335000,339000,349900,359000,369990,379900,379990,375000,369900,369990,369900,364900,359990,354900,365000
"Miami-Fort Lauderdale, FL",262000,250000,249000,249000,248000,244000,245000,240000,239900,239777,237500,239900,239000,230000,240000,229000,229990,224900,223000,225000,219900,214900,200000,198000,199900,209000,199900,199979,209900,209900,190000,209999,219900,218999,224900,225000,224900,225900,228500,229999,234500,239000,229900,225000,230000,239000,239000,239900,204900,210000,215000,225000,230000,239000,244888,249000,249000,249000,240000,241000,244900,254500,250000,250000,255000
"Atlanta, GA",188000,179900,179900,179900,177945,175000,176000,180000,176250,177000,174900,174900,174900,169900,171900,169900,170000,170000,170000,169900,169900,169000,165000,160000,159900,159900,150000,149900,149900,149000,144900,145000,148000,144900,139900,139900,139900,139900,135000,134900,135000,139500,139900,144900,148245,149900,149900,150000,153500,158500,159000,159900,167000,171000,179900,184900,188900,189000,185000,186500,186500,179900,174900,169900,175000
"Boston, MA",329000,319900,319000,319000,319900,325000,329900,339900,339500,339000,333000,339000,339000,335000,329900,329000,330000,339000,339900,340000,345000,339000,329900,329900,333000,330000,324900,319900,324900,324900,329000,335000,339000,329995,329900,329900,329000,319000,309900,319000,325000,329900,339990,348000,344900,339500,335000,339000,339000,339898,329999,334900,343900,349900,359900,369900,374900,369900,359900,364900,369000,365000,359900,359000,374000
"San Francisco, CA",490000,455000,444900,429000,445000,449000,459900,509000,510000,520000,516500,539000,511000,495000,499000,500000,525000,525000,535000,545000,549000,529000,520000,509000,499950,493240,459000,449000,450000,450000,449000,459000,456000,459900,449950,469500,464900,438000,409950,425000,435000,447700,456999,499000,518000,539000,539900,539000,558000,575000,550000,550000,594900,619000,649950,679000,659000,649000,624888,638000,630000,599000,599000,599000,635000
"Detroit, MI",128900,119900,119900,119900,119000,115000,117000,119900,110000,119500,110000,113595,109900,107000,107900,105000,104900,104900,101900,100000,99900,99700,95000,95000,95000,93000,85410,82000,84900,80000,80000,85000,89900,89900,89900,85000,84900,79900,79900,79900,78200,79900,80900,85000,89900,89900,89900,86900,84900,86500,83300,84900,89900,95000,109800,119900,129000,129900,129900,129700,125000,119900,118000,114900,119000
"Riverside, CA",235900,219900,211900,199999,198999,189990,189000,189900,179900,179900,179900,182900,185000,180000,184300,196000,195000,199000,199900,200000,209000,209000,209900,209900,208700,206990,199900,199900,199900,199000,199000,199000,199000,195000,198000,195000,195000,193900,194900,194900,190000,198000,199900,199999,200000,204900,210000,214900,215000,224990,229000,230000,239900,248925,250000,259900,265000,269999,275000,280000,282000,279900,284900,285000,289000
"Phoenix, AZ",210000,189900,182900,179900,174900,169900,168000,180000,174900,169900,168900,174900,168800,160000,164900,159900,159000,154900,154500,150000,149900,145000,140000,139900,139897,138995,135000,134900,135000,134900,131850,134900,137833,134879,139000,135000,139900,140000,143000,149200,150000,159900,170000,171900,174900,174600,175000,175000,179900,184900,185000,189900,199000,205000,215000,222500,225000,225000,222536,222000,225000,224900,225000,225000,229000
"Seattle, WA",374990,362000,350000,349950,345000,339999,339950,339950,330005,330005,329950,329500,329000,314900,304950,299950,299950,299900,299900,299950,299900,299000,295900,289950,289000,280000,275000,265000,264950,260578,255900,257500,259900,259900,259950,259900,250000,249900,240021,239950,249000,258500,270000,280000,289950,295000,290000,292591,288945,289000,279990,279950,289950,298000,304950,324900,329950,334950,329900,334950,333900,319950,318000,304900,312990
"Minneapolis-St Paul, MN",220000,199999,199900,199900,199800,199900,199900,204900,199900,209900,205000,209900,200000,199900,199900,199900,199900,199900,199000,199900,199000,193900,189900,189000,185000,179900,174800,169500,169900,169900,169900,174900,179900,177000,179000,177900,175000,174900,169900,169900,172000,179000,179900,185000,189900,189000,189900,189722,185000,189900,189900,189900,199400,205000,214900,219900,224900,224900,224900,224900,229000,219900,217900,209900,224000
"San Diego, CA",384900,356500,355000,355000,350000,350000,350000,370000,360000,363580,361900,380000,379000,369900,380000,378200,379000,379000,384500,389000,390000,389700,389000,379000,379000,375000,360000,355000,354071,349900,349950,359900,364900,360000,354475,349000,344990,345000,344900,345000,339000,345900,349000,360000,369000,374900,375000,369900,375000,375000,379900,389000,399000,419000,429900,445000,449900,455900,455000,455000,450000,449900,450000,454000,464000
"St. Louis, MO",169000,160000,160900,159900,159000,159900,159900,164900,159900,159900,159000,158900,157600,152900,152000,154000,153900,153675,154900,154900,155000,155000,154900,154900,154900,152000,149800,145000,149900,149900,149500,149900,150000,149900,149900,147900,148000,148900,142000,149900,147500,145000,149000,149900,149900,148500,146000,145000,138000,142900,135900,135000,139900,145500,149900,150000,150000,149900,145900,145000,144900,140000,139900,139900,144900
"Tampa, FL",189000,184900,180000,179550,175000,175000,174990,175000,169900,169900,167000,164990,164900,159900,159900,159000,155000,154975,154000,154900,150000,149900,145000,145000,145000,145000,139900,139400,139900,139900,137000,139900,141000,139000,139900,137000,139900,138000,135000,134900,135000,139000,136500,139000,139900,140000,143900,143900,140000,145000,145000,148000,149900,154900,157000,159900,163900,165000,164900,165000,165000,159900,159900,159999,166940
"Baltimore, MD",299900,292000,289900,284000,280000,284900,284900,289000,279900,277000,270000,269900,265000,250000,249900,249900,249900,249000,249900,254500,254900,249900,242000,244975,240000,242400,234990,229900,237071,239900,239900,245900,252000,249900,241180,240000,239900,235000,234900,230000,235000,244900,247500,249900,250000,249900,249900,249900,245000,241000,239000,235000,239900,245900,250000,264900,265000,261990,259000,259000,259000,249900,249700,240000,249825
"Denver, CO",254900,239900,239900,235000,244900,240000,239999,253900,254900,252000,250000,255000,249950,248000,249000,239900,240000,234500,230000,233000,232000,244000,244900,240000,245000,244500,233990,230000,235000,235000,229000,242000,249000,248000,244900,245000,244900,240000,239900,239900,244900,250000,256975,263300,265000,263500,262000,263000,250000,254500,250000,250000,259900,269000,275000,285000,289000,295000,290950,299000,298000,295000,299900,299900,314950
"Pittsburgh, PA",139000,129900,134900,135755,137000,139000,139900,139900,139000,134900,129900,129000,128000,125809,129900,132500,137500,139000,139000,139900,139900,139900,139900,140238,139900,139900,139900,138900,143800,144290,139900,139951,149000,139900,135000,137500,135500,135000,135900,135000,138900,138790,139900,140000,141000,139000,139000,135000,132900,135000,134900,135000,142900,142900,148000,149500,149000,145000,144900,144900,139900,139000,139900,139900,139900
"Portland, OR",299900,299000,292500,289000,279950,279900,279800,279900,279000,278800,277900,275000,272500,266110,265000,260000,259000,250000,250000,255000,255000,255000,249900,248500,244000,239990,235000,229900,229900,229900,229000,230000,235000,239900,239000,239900,239900,230900,229000,229900,227000,229900,235000,239000,245000,249900,249999,249900,245000,247900,249000,249000,249900,259500,269900,275000,279900,283000,284900,279900,279900,279000,275000,274900,279900
"Sacramento, CA",274900,259900,255900,258000,260775,259900,264900,269950,264900,269000,269000,275600,274900,265000,278900,265000,273000,265000,259800,259000,244900,240000,239900,240000,235000,225990,219990,212440,214900,200000,199000,199900,205000,205000,210900,210000,205000,209900,205000,199900,195000,199900,204900,205000,215000,228000,239000,239900,249900,249900,249000,270000,279000,298000,299000,311000,319000,320000,319000,325000,325000,307900,319000,324950,334900
"San Antonio, TX",195900,199000,191800,189900,185000,189000,185000,194900,178495,181995,175500,172000,169900,169000,169900,169990,166500,167900,169500,172365,172365,169995,167000,164900,169500,168000,168700,169500,171900,172900,169900,176260,179273,179000,174000,168995,169900,169495,170500,170000,170990,174170,176699,179900,181500,179700,179900,179900,177995,180500,183300,184250,189900,194000,197990,199000,200000,200000,200664,204778,210000,209000,214900,214000,219900
"Orlando, FL",210000,199990,199000,189990,186900,179900,179900,179900,175000,179000,170000,169900,168500,160000,160000,159900,159000,152900,150900,150000,145000,142500,139900,143000,143990,145000,139900,139900,139990,140000,139900,143171,149000,145000,144990,140000,140000,139000,139000,139900,139000,139900,142000,149500,150000,153900,155000,157990,159000,159900,164500,167601,169900,175000,180000,185000,190000,190800,190900,195000,199000,192500,193000,192500,199900
"Cincinnati, OH",149900,142000,141900,143500,139500,139500,139900,144900,144900,145000,144900,143500,145000,139900,142800,141500,140000,140000,141000,140000,142500,139900,139900,149900,147000,145900,139900,139900,139900,139995,134900,139900,149000,142900,142900,144900,142900,142900,139900,139900,139900,139900,140000,142000,145900,144900,144900,139900,134900,139900,136695,136900,135000,139900,140000,145000,144900,145000,140000,140000,140000,140000,139850,139900,143500
"Cleveland, OH",129900,124900,119900,119900,119900,119900,124900,129500,127000,129900,124900,124900,120000,119000,120000,119900,124900,125000,135000,139900,129900,129900,129900,129900,129900,129900,125000,124900,125900,125900,124900,129000,129900,129900,129000,128900,125000,125900,124900,124900,125000,125000,127900,129900,129500,128500,128500,124900,120000,124900,119900,119900,119900,122900,124900,129500,129900,129000,127500,125000,124900,120000,119900,119900,124900
"Kansas City, MO",169900,165000,165000,165000,165000,169900,169000,165000,160000,160000,159900,159500,158900,155000,155000,152000,154000,154900,155000,155000,155000,154900,150000,150000,150000,150000,148900,145000,148300,149500,149000,150000,154000,150000,149950,149900,149900,145000,144900,144900,144900,149500,150000,149900,144950,139990,139900,137500,129000,129000,125000,124500,128500,139950,148000,149950,150000,149900,149000,146000,144900,139900,139000,135000,139900
"Las Vegas, NV",199000,185000,179000,172500,163500,157000,151900,149900,145000,145000,145000,147000,145000,141900,147000,149500,149900,149900,149900,149000,145000,140000,138000,139000,135000,135000,129900,129900,134900,132500,129000,129000,130000,127900,129950,128725,125000,124900,124900,125000,125000,129457,130000,140000,145000,138990,135000,135000,139000,139500,144900,148888,149900,150000,155000,160000,165000,160500,174900,179000,179900,180000,179900,175000,179000
"San Jose, CA",595000,557653,499000,530000,531900,549900,559000,599000,599500,599950,599000,595000,569000,549000,554700,550000,559000,554400,559950,559950,565000,575000,575000,550000,543000,525000,499900,497000,520000,524999,524900,549950,549990,549000,539950,545000,539000,525000,499000,499000,508000,526300,549000,569000,588000,599000,599000,599000,599000,599000,599000,599000,649950,669000,688800,699000,699000,690888,679888,674950,670000,660000,668800,660000,699000
"Columbus, OH",159900,155000,156400,154900,153000,154900,154900,159000,158000,159900,159900,159900,155000,150000,150000,150000,150900,151000,150289,152900,150000,149900,149000,149900,149900,149900,144900,142000,144500,144900,144900,147000,149900,149775,147500,145000,149500,145990,139900,139900,139900,142000,146500,149900,149900,149900,145000,143900,139900,139900,134990,134900,136900,139900,145900,149900,149900,149900,149900,149900,149900,149000,145000,144900,145900
"Charlotte, NC",214900,213900,213900,212620,214900,213900,214800,214900,205480,200990,199900,196500,190000,181990,179990,184900,184900,182500,180000,181545,180000,179900,179900,179900,179000,175000,170000,169900,172990,172990,170000,174000,179000,175000,170990,169900,170000,169900,169900,169900,173000,175000,175000,175558,176990,175000,179500,176400,166715,167500,167000,169500,175000,185000,194900,195000,195477,195000,194500,195000,197000,189990,190000,189900,194450
"Indianapolis, IN",144900,139900,140000,142000,140000,143990,145000,146990,144900,143900,140000,140000,139900,139900,139900,138500,138900,139900,139900,139900,139900,139900,139900,141900,144900,144990,139900,139900,142897,140000,139900,142900,145900,144900,142500,139900,139900,139900,139900,138900,139000,139900,139998,140000,144900,144150,140000,139900,135000,139654,139000,138000,139900,145000,149900,150000,152900,150000,149900,149900,149999,149900,149767,147900,150000
"Austin, TX",239500,237500,233900,232073,234900,229900,229900,229999,229900,227990,225000,227990,220000,215000,215000,210000,210000,208120,209999,214660,210000,208900,200000,210000,212990,217990,213000,204900,209000,209900,209900,213500,207500,212500,209500,200425,201450,200430,199990,200000,209600,215000,219900,220720,224900,224500,224000,219900,199900,215000,218000,219990,227450,235000,240990,245396,249500,249900,249000,250000,259000,259949,260000,266215,274400
"Virginia Beach, VA",275000,270000,269000,264900,262000,262000,259900,259900,257900,252900,249950,249900,249900,245000,247300,243900,242000,239900,239900,240000,239900,239000,234000,230000,229900,229000,224999,224900,225000,224900,219900,224900,224900,219900,219500,220000,219900,219000,216900,219500,220000,225000,224900,224900,224500,220000,219900,214000,210000,215000,218000,219000,219900,220000,235000,229900,230000,229980,228000,234900,228900,224900,225280,229000,229900
"Providence, RI",279000,274900,273000,269900,269900,269900,274900,279900,275000,279000,279000,279900,269000,274900,275000,269900,264900,260000,260000,267500,269000,269000,269000,262000,259900,259700,249900,249900,249900,249000,239900,239900,245000,239900,239900,239000,234900,229900,229000,229900,229900,234900,239000,239900,244000,240000,244900,245000,241000,245000,243000,239900,244900,247500,253500,259000,259900,259000,259000,259900,259000,250000,250000,249900,259000
"Nashville, TN",209000,200000,204990,203989,199900,199900,199900,200999,199900,198800,190000,192900,189900,187500,189629,186500,184900,182990,184000,185000,184999,184900,179900,184000,183990,184900,179900,179000,176334,175990,176458,179900,179900,177900,175000,174900,174900,174900,170000,169900,169900,172900,174900,175000,179000,179900,181900,180000,179900,188990,186900,187900,194900,195000,199900,206900,209900,209900,204900,206990,209000,199900,207999,209900,214900
"Milwaukee, WI",207000,199900,195000,198000,199000,194900,209000,203850,200000,200000,199900,199900,195000,189900,194900,189900,189900,189900,189900,194900,194900,189900,193000,191090,194900,192900,189000,184900,187500,185000,187500,189900,189500,185000,185900,179900,178000,172900,169900,169900,165900,165000,165000,167900,167500,165000,164900,170000,149900,159900,154900,157900,169900,169900,172900,178900,179900,179900,179900,179000,178900,174900,174000,159900,163000
"Jacksonville, FL",219900,215990,207800,204900,203500,200000,200000,199900,199000,199900,195000,190000,189000,185000,185000,182900,183000,179900,179000,179000,176990,174900,169950,170000,174500,175000,171995,169990,174900,174500,170000,174900,175000,173900,170990,170000,169900,167800,165990,166500,165000,169500,169990,169900,174900,175000,175990,175000,174990,179000,179900,180990,187990,194990,198990,204950,206990,199923,199000,195000,195990,185990,185000,185900,194500
"Memphis, TN",159900,153900,154900,155000,152900,154586,154900,159000,150900,150000,149800,149000,143900,139900,143000,142000,144900,144995,144900,145900,149500,151000,149900,149900,149900,149900,144900,139900,140000,142900,144900,149000,147000,149500,145900,146000,140000,139000,139900,139900,139000,140000,143000,144900,144900,144400,142500,79000,89900,139900,139900,141000,144000,145000,149900,153900,154900,154000,154900,154000,150000,148000,148500,147500,141900
"Louisville-Jefferson County, KY",149900,145900,146900,146900,145000,145000,146900,149900,149900,152000,156900,156500,154500,149900,149900,149900,147900,146900,147900,149000,148900,149900,149900,149000,148000,148500,144200,142000,144900,144900,144700,149900,145000,144900,145456,146900,144900,144900,139900,139900,139900,140900,139999,139900,140000,139900,141900,142000,132000,139500,136900,136900,138900,139900,142500,144500,144900,144900,139900,142000,144500,142500,139900,139900,140000
"Richmond, VA",254950,249900,244950,240000,239950,239950,239950,242500,239000,234900,229950,229900,229000,224950,224900,219900,216900,215000,214950,219000,215000,214500,205000,209000,204950,205950,199500,194950,198500,199000,199000,199950,199950,199000,193430,191950,192500,189950,187500,185000,184950,189800,189900,193950,195000,194950,195000,195900,188000,198950,198000,198000,199900,200000,209950,214990,215991,214000,210000,210000,209000,199950,199950,199950,205000
