"RegionName","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02"
"United States",6.9735580216468,6.9493521790341,7.1003717472118,7.4691563854618,7.8771695594125,7.9254079254079,8.0064051240992,7.9663598878662,7.8740157480314,7.7579519006982,8,7.9155672823218,7.4182528062469,7,6.8358940102427,6.6912010705921,6.7333333333333,6.875,6.6852367688022,6.9767441860465,6.9333333333333,6.9783670621074,7,6.7832167832167,6.6711140760507,6.2893081761006,6.198347107438,6.060606060606,6.1930783242258,6.0642813826561,6.1050061050061,6.1326658322903,6.0642813826561,6.1453631284916,5.987460815047,5.9247397918334,5.7142857142857,5.6179775280898,5.4565296471444,5.3511705685618,5.3846153846153,5.4347826086956,5.5617352614015,5.5710306406685,5.6603773584905,5.5793991416309,5.5586436909394,5.5617352614015,5.327545382794
"New York, NY",6.253908692933,6.2650602409638,6.3324538258575,6.6675556740898,6.9204152249134,6.9185737094199,7.0167213627129,6.8337129840546,6.7691264549666,6.6711140760507,6.6666666666666,6.4748201438848,6.054279749478,5.7142857142857,5.8316633266533,5.987460815047,6.1728395061728,6.269592476489,6.2265566391597,6.3829787234042,6.3843370929985,6.2526052521884,6.1537017749258,5.9332321699544,5.8858151854031,5.6710775047258,5.6710775047258,5.6370913942628,5.7688683418013,5.688622754491,5.6981132075471,5.6962025316455,5.5567903978661,5.4995274976374,5.4083288263926,5.3431976983148,5.1903114186851,5.2287581699346,5.1413881748071,5.1397033459813,5.2645433008686,5.3667262969588,5.4545454545454,5.4736842105263,5.4487179487179,5.3978494623655,5.2770448548812,5.2525252525252,5.0251256281407
"Los Angeles, CA",6.6888888888888,6.7796610169491,6.813627254509,7.1479628305932,7.4101519081141,7.5185185185185,7.6982294072363,7.8988941548183,7.8149421694279,7.7321428571428,7.6982294072363,7.4814814814814,7.0796460176991,6.5543564095814,6.6666666666666,6.6666666666666,6.677796327212,6.6889632107023,6.6554054054054,7.0243204577968,6.9625761531766,6.9204152249134,6.8989306657468,6.7005937234944,6.5622080069,6.1538461538461,6.0377358490566,5.6666666666666,5.5710306406685,5.4187911064744,5.2788420604512,5.420054200542,5.2770448548812,5.4505005561735,5.2910052910052,5.0586639641411,4.8780487804878,5.0251256281407,5.0632911392405,5.0449405624818,4.9230769230769,4.7630388187663,4.7680412371134,4.8899755501222,4.9366244162775,4.7826086956521,4.6178343949044,4.5558086560364,4.3572984749455
"Chicago, IL",6.416127133608,6.7114093959731,6.968989663221,7.4349442379182,8.0032012805122,8.1632653061224,8.2608695652173,8.3018867924528,8.0695607763023,8.0689655172413,8.3565459610027,8.4615384615384,7.8462348604528,7.4537037037037,7.1957671957671,7.1646341463414,7.4074074074074,7.6923076923076,7.5949367088607,7.8968149513029,7.8461538461538,8,8,7.7041602465331,7.5812274368231,7.1479628305932,7.0100143061516,6.816760475297,7.0588235294117,6.9813953488372,7.1190211345939,7.1479628305932,7.1428571428571,7.0854271356783,6.8965517241379,6.7796610169491,6.25,6.0624431645953,5.8835065699156,5.6818181818181,5.6603773584905,5.7175528873642,5.8823529411764,5.8823529411764,5.8997050147492,6.001200240048,6.1538461538461,6.253908692933,5.8837373499646
"Dallas-Fort Worth, TX",5.5710306406685,5.4127198917456,5.5837563451776,5.8823529411764,6.0960334029227,6.204173716864,6.25,6.1403508771929,6.0816012317167,5.8941176470588,5.8858151854031,5.8333333333333,5.4729729729729,5.1704014939309,5.3571428571428,5.2631578947368,5.27950310559,5.3576285014957,5.2659294365455,5.4083288263926,5.3075995174909,5.2659294365455,5.2910052910052,5.1768766177739,5.0933786078098,4.9544994944388,4.7694753577106,4.7619047619047,4.8275862068965,4.7619047619047,4.7476168540398,4.7641734159123,4.8148148148148,4.7675804529201,4.6178343949044,4.5454545454545,4.2857142857142,4.2515183994283,4.1600842548709,4.0983606557377,4.1414141414141,4.2553191489361,4.397705544933,4.4943820224719,4.5165201576235,4.4143613890523,4.3865661411925,4.5174750061968,4.3540669856459
"Philadelphia, PA",5.7142857142857,5.8837373499646,5.9889398752794,6.3694267515923,6.7111111111111,6.6666666666666,6.5359477124183,6.2304646801416,6.25,6.0490592998332,6.25,6.3368538076709,5.8858151854031,5.4644808743169,5.6625141562853,5.7159188339525,5.8858151854031,6.0401002506265,5.987460815047,6.2507813476684,6.253908692933,6.2507813476684,6.25,5.9459459459459,5.9623849539815,5.7142857142857,5.7398630858346,5.7142857142857,5.9171597633136,5.8825836307306,5.8858151854031,5.8858151854031,5.8333333333333,5.8479532163742,5.7731958762886,5.7159188339525,5.2554744525547,5.298245614035,5.21327014218,5.2634349176272,5.3452115812917,5.50305725403,5.5710306406685,5.5778882288762,5.7708901193721,5.6342182890855,5.5576139310855,5.7175528873642,5.420054200542
"Houston, TX",5.8298999411418,5.8846606512357,6.0040026684456,6.3180063180063,6.6727111514076,6.766917293233,6.6755674232309,6.4516129032258,6.25,6,6,5.9435364041604,5.6603773584905,5.3315956280915,5.6044835868694,5.5555555555555,5.4237288135593,5.5301238133275,5.375,5.7224606580829,5.8181818181818,5.8858151854031,5.7224606580829,5.5586436909394,5.5374592833876,5.2645433008686,5.2173913043478,5.1308363263211,5.1925925925925,5.1,5.1348999129677,5.2173913043478,5.1490514905149,5.1282051282051,5,4.9285362247412,4.6160947838128,4.5506257110352,4.5112781954887,4.4117647058823,4.4992295839753,4.5452809914199,4.8571428571428,4.9736495388669,4.8387096774193,4.8250904704463,4.7664442326024,4.7630952380952,4.6168051708217
"Washington, DC",5.7446808510638,6.3636363636363,6.4339181286549,6.9013112491373,7.4074074074074,7.5949367088607,7.8600977811207,7.6982294072363,7.5018754688672,7.216,7.4074074074074,7.5500770416024,7.1462601238685,6.6677779629938,6.4516129032258,6.088094730754,6.1073825503355,6.269592476489,6.1904761904761,6.3492063492063,6.1360544217687,6.2519537355423,6.25,5.9623849539815,5.7142857142857,5.3571428571428,5.1131391423927,5.0025012506253,5.20572450805,5.0933786078098,5.05,5.012853470437,5.103082261686,5.1282051282051,5.0395778364116,5.0090252707581,4.7628119641836,4.6511627906976,4.5217391304347,4.4460911448684,4.5168539325842,4.5454545454545,4.6590909090909,4.7692307692307,4.7781697138314,4.7846889952153,4.7628119641836,4.7702198587189,4.3516100957354
"Miami-Fort Lauderdale, FL",10.0004400193608,10.0502512562814,10.2272727272727,10.9090909090909,11.1141983884412,11.142061281337,11.5214180206794,11.2359550561797,11,10.7408333333333,10.5820105820105,10.0502512562814,9.6971380939149,9.2307692307692,9.0991810737033,9.090909090909,9.090909090909,8.8287227781047,8.3885209713024,8.6379928315412,8.3633453381352,8.2465809348846,8.2313681868743,7.9584775086505,8.0482897384305,7.8968149513029,7.8431372549019,7.7922077922077,7.6938461538461,7.3863636363636,7.1942446043165,7.1428571428571,7.1428571428571,7.0093457943925,6.9883720930232,7.0047632390025,6.7796610169491,6.867469879518,6.7578143871684,6.5948560123103,6.3694267515923,6.3291139240506,6.6664592587983,6.2982005141388,6.3541666666666,6.5217391304347,6.6666666666666,6.6889632107023,6.5683834921827
"Atlanta, GA",8.545298656759,8.103448275862,8.3333333333333,8.75,9.375,9.5283468318246,10,10,10.0200400801603,10.01001001001,10.15625,10.1235955056179,10,10,9.7421203438395,9.5238095238095,9.4444444444444,9.5765056394977,9.471766848816,9.5996275605214,9.4117647058823,9.5389507154213,9.9181073703366,9.6153846153846,9.3373493975903,8.7609511889862,8.110300081103,7.7579519006982,7.7120822622107,7.3894736842105,7.2389959985449,7.1479628305932,6.9813962792558,7.0631970260223,7.0348837209302,7.0854271356783,6.5306122448979,6.25,6.001200240048,5.889281507656,5.7142857142857,5.5710306406685,5.7346076905979,5.7613559366417,5.8840835539864,5.7979417306856,5.9059768485707,6.0922541340295,5.8333333333333
