"RegionName","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02"
"United States",32.3872900370613,37.6872877658796,38.9787403706722,39.3518120479225,36.1652151391458,35.7388968989907,33.3446771769582,32.0330145472932,31.6875535161412,28.6769708708416,25.9081264950173,31.7041847145329,33.7864930952982,33.9997741418735,35.3238485037382,32.0796806867389,35.4645817591083,34.0954347982797,31.4678643732305,30.6455727777842,28.7806172656315,30.8244297797922,28.8918399480412,30.182031164909,30.7698953419805,32.8244561168148,32.4524044705338,32.4840254405744,32.747069148538,31.8285834187042,28.3354555008661,27.0721723811668,27.1358398047034,25.5738393141428,28.2748102404553,26.9450220835984,27.1579485367263,28.6870147324696,29.8376293992823,32.115864530583,33.6456947699584,34.0006858612683,31.7017923487615,29.9062503827639,29.3187283269993,28.1075748840045
"New York, NY",31.1994,36.7057,36.3289,36.6446,33.6297,33.5264,31.7287,29.5199,27.7463,24.7893,22.5044,30.8301,33.9133,35.9442,37.3263,33.5432,35.4937,34.313,31.7636,31.3178,28.8225,30.7925,29.3001,30.9605,31.6575,34.1033,33.9406,33.0175,32.7227,30.1158,27.9322,24.6876,23.6647,21.8165,25.5549,24.7979,25.1947,26.9011,27.6146,28.4227,29.9726,30.3469,27.4857,25.6106,23.8499,20.4346
"Los Angeles, CA",28.5492,31.743,35.3945,37.2014,39.3269,38.8229,37.3156,35.6652,34.3189,32.074,28.2405,33.1404,34.9031,34.7103,36.8869,32.835,37.9403,37.735,34.5825,34.0861,32.1193,31.9035,28.7377,27.7879,25.4006,24.4102,22.8656,22.7499,22.6737,21.99,20.8863,18.4985,17.4568,15.2659,16.7517,16.0273,17.0421,19.2023,21.9736,26.2096,29.9405,31.1586,30.1735,29.1727,28.3821,27.6752
"Chicago, IL",39.39,45.738,46.7852,45.2851,42.9421,41.7657,39.6972,38.4587,38.1363,35.5092,32.316,38.9584,41.1229,42.0829,43.669,40.3589,43.5391,42.4693,40.2125,39.4188,37.0151,39.567,38.0844,39.3052,39.0243,40.0764,39.3412,40.1974,41.4308,40.1696,36.8524,34.2863,33.5792,30.59,32.7497,30.7429,30.2836,30.9564,32.6287,34.5862,36.9095,38.5285,36.3056,34.6192,34.1245,32.1092
"Dallas-Fort Worth, TX",35.3107,39.5669,41.677,44.2869,37.7726,36.6805,34.7684,33.4074,33.099,29.4263,25.9149,30.2409,35.4063,33.2427,36.258,31.1035,37.9993,35.4059,32.3619,32.0885,30.3098,30.7368,30.3508,32.1231,32.7535,35.2744,35.7155,35.0867,36.0229,35.7352,32.1082,28.9262,28.0002,24.9354,27.1579,25.8184,25.6161,27.0761,28.9128,30.8631,33.8776,33.5662,31.785,29.6791,28.7233,26.7616
"Philadelphia, PA",41.3198,46.3027,45.9987,44.425,38.6295,39.357,36.4431,35.6561,37.8935,34.7147,31.2718,39.8753,41.3466,42.1103,43.6019,39.4244,44.192,43.932,41.612,39.5558,35.4918,39.5325,37.8947,40.8514,41.9505,44.4795,43.3427,42.6658,43.5513,43.0132,40.0282,37.8133,36.3081,34.4351,38.6117,36.6222,35.8351,36.7177,38.4377,41.287,42.5927,43.7246,39.7588,36.9842,36.6721,35.2448
"Houston, TX",34.2106,40.9642,44.6685,46.2816,39.8807,40.1653,36.104,34.1508,33.9727,30.0104,26.4161,35.4776,36.5186,34.0908,36.4319,33.1296,38.6331,36.215,35.3337,34.5171,32.1488,33.0556,30.873,32.4898,32.6699,35.3613,35.6142,35.4284,35.4743,33.9657,31.3206,28.0231,27.0542,24.5037,26.2118,24.2742,24.993,26.0627,27.551,29.7953,30.8803,30.6176,29.2357,26.3018,25.6171,23.3039
"Washington, DC",30.7216,35.6139,37.9534,39.7025,37.8665,37.7602,35.7959,33.827,33.5636,28.977,25.9345,31.8577,33.4705,32.6066,35.3802,28.7953,35.8339,35.8066,33.5338,32.7133,29.3224,29.7598,26.669,27.0207,28.7882,30.2791,29.6563,30.2331,31.3654,31.155,29.3357,27.301,25.8534,22.9964,24.1155,22.9354,23.5584,25.7998,27.6815,30.0606,32.9416,35.088,32.9419,30.3099,28.8431,26.2951
"Miami-Fort Lauderdale, FL",22.2687,25.3646,26.6443,28.24,28.3792,28.0923,27.5518,27.6047,25.859,20.8176,19.3342,21.1418,24.0294,22.6662,22.038,19.3355,20.392,19.2233,18.5774,19.6147,20.0764,21.0844,20.4917,21.9529,21.4562,21.9361,20.2512,17.8936,19.4855,18.1885,18.6212,17.7846,19.0579,18.6056,19.8111,18.0878,18.7351,17.6088,17.096,17.586,19.5195,22.0166,21.2743,22.8749,25.0916,26.2207
"Atlanta, GA",33.3095,38.3693,39.4957,40.5124,40.0739,39.5351,37.3913,36.7202,37.9664,34.9517,31.4241,37.1802,38.4409,38.2525,40.6342,33.9845,37.4769,34.8191,31.1684,34.907,34.0855,33.5559,30.0986,29.8429,30.2011,30.1235,29.7916,28.4946,29.38,28.5262,27.155,25.2378,24.9773,23.9199,24.4622,23.2446,24.2026,24.4282,25.649,27.5981,29.7708,30.7002,29.011,27.561,27.679,27.7704
"Boston, MA",38.7331,42.6401,43.6084,42.2109,39.9769,39.4306,34.8536,36.6146,35.2607,32.2391,29.2044,35.8743,40.3383,42.1453,46.3403,41.9657,46.5418,45.1157,40.4376,38.8706,35.866,36.8328,33.0604,34.2847,36.1382,38.3069,39.691,39.6813,39.763,38.7543,36.9667,33.4657,30.4976,26.4281,27.4167,25.6665,27.2342,30.2589,31.7313,34.8423,36.6556,38.7662,37.2774,35.3983,30.8537,25.7564
"San Francisco, CA",20.761,24.7585,30.7945,32.1021,32.8084,34.1892,33.7434,32.9994,31.9094,28.2582,24.8997,29.0079,30.1656,30.3378,32.4837,26.1898,31.4281,31.5466,29.0911,27.8939,25.3902,23.962,20.6421,19.3339,17.7184,17.6776,17.3,17.757,18.4161,18.0702,18.2876,16.3368,14.2381,11.514,11.5961,10.7545,11.9548,13.9036,15.4821,18.4959,20.0644,21.9724,20.0568,20.1173,18.1272,15.5645
