"RegionName","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02"
"United States",3.7372770546937,3.767486698834,3.8357595891317,3.9000635494108,3.9513942897685,4.048561393028,4.1294792742436,4.1870451080843,4.2335982929476,4.2612298931911,4.3063318279778,4.3681432599626,4.410063511306,4.4578076266913,4.5176534574027,4.5587172951394,4.5938730108143,4.6430947855063,4.6721461962666,4.7273817299411,4.7580126641816,4.768093444609,4.7994286249872,4.7930476519471,4.7859410538688,4.7951742237663,4.7994940192714,4.7672848191331,4.8046060916813,4.7967135046101,4.7427129168412,4.7451953844764,4.7330106687127,4.745611644247,4.7541745227314,4.7275326398277,4.7622331106779,4.7593092316243,4.7631410851625,4.7957866663896,4.8194757458447,4.838486618814,4.9137101669738,4.9720393533244,4.9707088311572,5.0108445730912,5.017820382601,5.0395652396833,5.0986313693136,5.1501721259303,5.1747503161342,5.2360360786805,5.2772520838863,5.2728907881624,5.2995653682082,5.2834997531931,5.3182731638218,5.3558799075722,5.3817584379659,5.4359677844113,5.451563063613,5.4629026840115,5.4740939096882,5.4743215321005,5.472734463126,5.5081919985742,5.5685924231189,5.6270863527624,5.7465931495739,5.8185344076993,5.845215275657,5.8890571128903,5.9547871715982,6.0275345400347,6.1619197940864,6.2862720558414,6.3944618687374,6.5736950259334,6.6879815982496,6.7960745773017,6.8483095193969,6.8704806969088,6.9764232100763,7.0554622632033,7.0935821005682,7.1229214976956,7.1627981776574,7.1798560251772,7.2102278974456,7.2297946218307,7.201712807092,7.2644271832318,7.3128931509082,7.3329503324249,7.3441428156839,7.3396771406218,7.3331729245077,7.3236555409903,7.3092449043987,7.2353330146703,7.2081943867231,7.1330060508702,7.0315304703472,6.9056452156604,6.771759221817,6.6976134217643,6.6154932917851,6.5176948821666,6.4921282322052,6.4562053912733,6.3570500502573,6.2919248886784,6.1887842690729,6.0593790412803,6.0021087393009,5.9045278914356,5.7743857203632,5.6657192837419,5.5569333767937,5.4394110449914,5.3149267370856,5.227847959748,5.0803373183059,4.9900542210419,4.8705059240116,4.7583647872504,4.682369083504,4.5722727757067,4.5681768298669,4.5297161876747,4.4480902875742,4.4061071571113,4.3451043506025,4.2984367257418,4.2449391709284,4.1690239524549,3.9725847175936,3.8940989553741,3.8777485178158,3.8595880517689,3.9565421044549,3.9442004319779,4.0369838119521,4.0175568166254,4.0408994440209,4.0373033797528,4.0880240549938,4.164898136149,4.2252086680182,4.2643651833533,4.292796713194,4.255539683874,4.2150666030995,4.3805397146197,4.3322821563484,4.2094213482754,4.2451190332409,4.1508980710559,4.1056832476311,4.0565884920386,3.9872902444265,4.0239732235037,3.9285588734572,3.9838348956046,3.9817321098774,3.9940254712519,4.0076118289546,4.0118338212997,4.1225541776777,4.1606331224688,4.1604459579754,4.1658481668894,4.2007550022975,4.2029472350117,4.2374511676299,4.2597013362199,4.2597598399127,4.3181056831017,4.3447612901419,4.3537090436067,4.3769725403093,4.3712336592011,4.3585659539503,4.3785267516193,4.3799164902835,4.3712115823359,4.4071438881324,4.4075070525649,4.4203624111698,4.3966054965301,4.3444080602988,4.2986614840784,4.2324463422895,4.1503656613259
"New York, NY",4.0618,4.0878,4.1251,4.1314,4.1278,4.1917,4.2872,4.381,4.4322,4.4931,4.532,4.5984,4.6364,4.7022,4.7886,4.8488,4.901,4.9203,4.9125,4.944,4.9762,4.989,5.0415,5.0298,5.06,5.1026,5.1362,5.1476,5.2062,5.2346,5.1978,5.1997,5.1501,5.1292,5.0917,5.0985,5.138,5.1014,5.0436,4.987,4.9257,4.8731,4.8938,4.8963,4.8142,4.7581,4.7557,4.7039,4.7003,4.6745,4.6849,4.787,4.8333,4.863,4.9292,4.9382,5.0104,5.0826,5.0537,5.0809,5.0825,5.0773,5.0675,5.0063,4.9588,4.8887,4.8583,4.7649,4.8344,4.8671,4.9422,4.9941,5.1733,5.4008,5.6831,5.9144,6.1113,6.3697,6.7367,6.9308,7.0424,7.1283,7.2536,7.3454,7.3386,7.3003,7.2253,7.1928,7.1585,7.0913,6.8118,6.8998,6.9439,6.9415,6.9281,6.9532,6.9083,6.8484,6.791,6.6629,6.6391,6.573,6.5374,6.3927,6.2391,6.1727,6.0906,5.9777,5.9398,5.9017,5.8165,5.7755,5.6832,5.5809,5.4771,5.4066,5.2989,5.1928,5.0697,4.9445,4.7691,4.6372,4.5011,4.4076,4.2724,4.1765,4.0792,3.9247,3.8747,3.7958,3.7124,3.6484,3.5311,3.4516,3.3814,3.284,3.2034,3.1287,3.0626,3.037,3.0197,3.013,3.0755,3.1581,3.2139,3.2444,3.306,3.3624,3.4457,3.5307,3.6173,3.5671,3.5118,3.5551,3.4562,3.3335,3.3076,3.3114,3.287,3.2542,3.2217,3.1587,3.0483,3.0977,3.0984,3.1041,3.0984,3.103,3.1368,3.132,3.1364,3.1476,3.1814,3.1935,3.225,3.2482,3.2657,3.2973,3.3013,3.3243,3.3619,3.374,3.3708,3.388,3.4204,3.4269,3.4903,3.5634,3.6661,3.7537,3.8186,3.8661,3.8533,3.7792
"Los Angeles, CA",6.0903,6.1431,6.2213,6.2861,6.3563,6.4668,6.5914,6.6369,6.6733,6.6433,6.6714,6.6865,6.6821,6.7056,6.7739,6.8128,6.803,6.8144,6.8039,6.8197,6.8516,6.844,6.8785,6.8588,6.8435,6.8445,6.847,6.7553,6.7681,6.7544,6.6018,6.5886,6.5151,6.4863,6.485,6.4293,6.4299,6.3723,6.2837,6.2626,6.232,6.2058,6.2863,6.3682,6.3409,6.3563,6.3173,6.2924,6.3855,6.4768,6.5615,6.6736,6.7503,6.7237,6.7191,6.6307,6.6459,6.6881,6.7326,6.8016,6.7887,6.7369,6.646,6.5683,6.4876,6.4735,6.5402,6.6203,6.7373,6.8016,6.8087,6.8413,6.844,6.8711,6.9535,7.0037,6.9962,7.0488,6.9935,6.8937,6.8282,6.7298,6.7322,6.7089,6.6932,6.6682,6.6821,6.6535,6.6652,6.69,6.669,6.7485,6.773,6.7652,6.7564,6.7118,6.6552,6.6013,6.5025,6.3735,6.2888,6.1482,5.9775,5.7966,5.6171,5.5038,5.3977,5.2852,5.2667,5.2446,5.155,5.077,4.955,4.8228,4.7764,4.6721,4.5273,4.3966,4.2525,4.1327,4.066,4.0076,3.8507,3.816,3.821,3.842,3.9237,4.0181,4.1798,4.2889,4.3275,4.384,4.4322,4.4849,4.5066,4.4873,4.4649,4.5278,4.584,4.5982,4.6238,4.6476,4.7134,4.7914,4.8338,4.8576,4.9193,4.9814,5.0538,5.0664,4.9901,4.9567,4.9257,4.8657,4.8171,4.7267,4.7324,4.7255,4.7098,4.6938,4.6216,4.5578,4.5222,4.5481,4.5367,4.5117,4.4972,4.4839,4.4791,4.4965,4.461,4.4124,4.4314,4.4254,4.4482,4.4914,4.4895,4.5683,4.6116,4.654,4.6661,4.6547,4.6445,4.661,4.666,4.6427,4.6732,4.653,4.6498,4.6114,4.5529,4.4828,4.4514,4.3881
"Chicago, IL",4.0984,4.1329,4.1951,4.2946,4.3687,4.4913,4.6022,4.7046,4.7779,4.7648,4.727,4.7888,4.8509,4.8935,4.9443,4.9796,5.0425,5.0809,5.137,5.2275,5.294,5.381,5.4703,5.4757,5.4511,5.4373,5.4395,5.3806,5.3821,5.3872,5.3327,5.3213,5.3022,5.2477,5.2508,5.1922,5.2226,5.2233,5.2144,5.2365,5.2684,5.2405,5.2782,5.3241,5.2792,5.3731,5.3468,5.3464,5.3982,5.4782,5.5164,5.5925,5.6049,5.5586,5.561,5.5303,5.5537,5.5578,5.5302,5.5677,5.5847,5.5983,5.5973,5.505,5.4749,5.528,5.6113,5.5846,5.7316,5.7654,5.7995,5.9581,6.1124,6.1549,6.25,6.316,6.3725,6.5245,6.6186,6.8191,6.865,6.8938,7.0319,7.0838,7.0626,7.1063,7.1596,7.273,7.3329,7.3864,7.3766,7.3797,7.4348,7.4521,7.5317,7.5168,7.5005,7.4983,7.5215,7.4779,7.4681,7.3832,7.2462,7.1507,7.0005,6.8947,6.7223,6.5577,6.4556,6.3549,6.2138,6.0893,5.9184,5.718,5.6187,5.4507,5.2842,5.1386,4.9625,4.8224,4.6505,4.5518,4.3804,4.2332,4.0428,3.8597,3.6869,3.4909,3.3805,3.289,3.2143,3.146,3.0609,2.9854,2.9234,2.8508,2.7883,2.709,2.6624,2.6353,2.6363,2.6368,2.7359,2.8253,2.8825,2.9279,2.9854,3.0565,3.1497,3.2458,3.2587,3.2222,3.1595,3.161,3.2567,3.1507,3.1331,3.0927,3.0825,3.0217,2.9694,3.0588,3.014,3.0857,3.133,3.1916,3.2635,3.3184,3.4503,3.4886,3.5223,3.544,3.593,3.6093,3.6603,3.7164,3.7763,3.9006,3.9782,4.0006,4.0935,4.1327,4.154,4.2368,4.2777,4.3105,4.4679,4.5488,4.6213,4.7285,4.7316,4.7384,4.7049,4.6575
"Dallas-Fort Worth, TX",3.4163,3.4737,3.5552,3.6641,3.7223,3.8573,3.9715,4.0505,4.0915,4.1426,4.1932,4.2514,4.3099,4.3388,4.412,4.4327,4.4795,4.5088,4.4962,4.5534,4.5904,4.5796,4.6387,4.6502,4.6389,4.6606,4.6739,4.6725,4.725,4.7074,4.6789,4.6904,4.666,4.7186,4.7087,4.6841,4.8193,4.9375,5.0693,5.2322,5.4185,5.6105,5.8515,6.024,6.1509,6.2914,6.4444,6.6149,6.6692,6.7488,6.7652,6.7925,6.8123,6.7494,6.7047,6.669,6.6885,6.7086,6.6974,6.7067,6.6868,6.6085,6.6044,6.5876,6.5588,6.5878,6.6222,6.6834,6.7366,6.7648,6.7288,6.7342,6.7294,6.7924,6.8665,6.9795,7.0333,7.1715,7.2523,7.3267,7.3983,7.4496,7.6203,7.7328,7.8225,7.8954,7.9914,8.0333,8.1106,8.1814,8.2266,8.3222,8.3867,8.4448,8.4967,8.5675,8.6311,8.725,8.7794,8.7879,8.8775,8.9458,8.95,8.9603,8.9787,9.0249,9.0466,8.9943,9.0393,9.0363,8.9768,8.9339,8.8495,8.6917,8.5911,8.4655,8.2889,8.1364,8.0078,7.8422,7.6439,7.5901,7.3814,7.2607,7.083,6.9027,6.7309,6.5439,6.5071,6.3929,6.21,6.0796,5.964,5.7893,5.5733,5.3327,5.1154,4.9262,4.8382,4.6913,4.5584,4.4674,4.7302,4.6846,4.6968,4.6671,4.7248,4.9454,5.0494,5.0738,5.0203,4.9552,4.9114,4.9332,4.92,4.8554,4.8529,4.7744,4.6834,4.5419,4.4066,4.3457,4.2972,4.3577,4.3645,4.3767,4.4047,4.4163,4.4419,4.5224,4.5303,4.5216,4.5528,4.5528,4.5569,4.5196,4.5871,4.6556,4.7004,4.7053,4.7206,4.7276,4.7964,4.9222,5.0266,5.1567,5.3571,5.5562,5.5388,5.5532,5.5077,5.4828,5.4156,5.3617
"Philadelphia, PA",4.255,4.2479,4.2762,4.3095,4.341,4.4202,4.4754,4.5315,4.5961,4.6158,4.6567,4.6842,4.6601,4.7329,4.8074,4.8643,4.8984,4.9613,4.9933,5.0609,5.102,5.145,5.1773,5.1886,5.1891,5.1786,5.1575,5.1187,5.1581,5.1567,5.1345,5.1172,5.0455,5.0218,5.0051,4.9969,5.0912,5.1036,5.1526,5.1974,5.2315,5.2189,5.2931,5.3435,5.3868,5.4823,5.5322,5.517,5.5298,5.5736,5.5624,5.6431,5.7086,5.7383,5.7543,5.7775,5.8254,5.8443,5.8523,5.9298,5.9494,5.9828,6.0089,5.9597,5.87,5.8859,5.9382,5.903,5.9579,6.0009,6.0318,6.0628,6.2042,6.3024,6.4217,6.5438,6.6853,6.8333,6.9977,7.1759,7.2415,7.2951,7.4257,7.5783,7.5138,7.4792,7.4806,7.4813,7.4889,7.4765,7.392,7.4419,7.5071,7.515,7.4998,7.4504,7.4899,7.4883,7.5248,7.4828,7.5036,7.4822,7.3941,7.3096,7.1482,7.0427,6.956,6.7971,6.662,6.5563,6.4599,6.4101,6.2621,6.1397,6.0567,5.933,5.8055,5.7061,5.6091,5.5045,5.3938,5.3152,5.1763,5.0844,4.9441,4.8104,4.7046,4.5131,4.4327,4.3305,4.1947,4.1083,3.9617,3.8797,3.7956,3.6629,3.5579,3.4788,3.3856,3.3533,3.354,3.3248,3.3876,3.454,3.4471,3.4352,3.4948,3.543,3.6161,3.7088,3.7372,3.6469,3.5612,3.6138,3.509,3.3879,3.367,3.3681,3.3133,3.2556,3.1712,3.0395,2.9734,3.0304,3.0356,3.0679,3.1117,3.1474,3.2369,3.338,3.3879,3.4277,3.529,3.6061,3.7169,3.7971,3.8394,3.9208,3.987,3.9783,3.9961,3.9688,3.9572,3.9937,3.9792,3.948,3.9669,3.9649,3.9902,3.9821,3.9394,3.95,3.8667,3.8002
"Washington, DC",4.4363,4.4535,4.5953,4.7067,4.796,4.9272,5.0085,5.0808,5.1048,5.1065,5.1454,5.1919,5.24,5.3153,5.3918,5.4775,5.5775,5.7233,5.8121,5.9176,5.9769,6.0404,6.0774,6.1335,6.1359,6.2047,6.2387,6.24,6.3139,6.3213,6.2754,6.3261,6.351,6.4,6.4579,6.4256,6.5127,6.5092,6.5288,6.5826,6.642,6.71,6.7933,6.8684,6.8755,6.9482,6.9414,6.9418,7.048,7.1535,7.2159,7.3029,7.3375,7.3069,7.4053,7.3806,7.412,7.4796,7.5023,7.5834,7.5976,7.552,7.5653,7.5001,7.492,7.4679,7.4294,7.4369,7.489,7.5345,7.5585,7.5965,7.6343,7.8185,8.0131,8.2096,8.3253,8.638,8.8123,9.0033,9.1019,9.1868,9.3509,9.4612,9.5308,9.5304,9.5262,9.5139,9.5661,9.5479,9.4975,9.5121,9.5272,9.449,9.4095,9.3715,9.324,9.2288,9.1798,9.0519,8.9347,8.7142,8.4414,8.1272,7.9011,7.7243,7.5567,7.3737,7.3137,7.2885,7.1281,7.0352,6.8509,6.6498,6.5987,6.5104,6.3682,6.2133,6.0627,5.9497,5.7341,5.5763,5.3966,5.2979,5.1884,5.1112,5.0801,5.0203,5.0851,5.1179,5.0712,5.0534,5.0294,5.006,4.9852,4.9315,4.8684,4.8862,4.742,4.7281,4.8715,4.847,4.9175,4.9248,4.974,4.9668,5.0337,5.0901,5.1833,5.2322,5.1903,5.2296,5.1775,5.2939,5.2236,5.1376,5.114,5.1349,5.0842,5.0544,4.9621,4.8967,4.8185,4.7143,4.6613,4.5979,4.5467,4.4833,4.4661,4.5397,4.5165,4.5026,4.5269,4.4551,4.499,4.5357,4.5618,4.6707,4.7966,4.8699,5.0211,5.1026,5.1777,5.3096,5.4161,5.4984,5.5269,5.5203,5.5335,5.5047,5.4014,5.3307,5.1825,5.0663
"Miami-Fort Lauderdale, FL",6.0965,6.1142,6.1717,6.2072,6.2427,6.3506,6.426,6.505,6.5071,6.5278,6.4773,6.5745,6.6275,6.6912,6.7167,6.7209,6.7641,6.8746,6.9621,7.0212,7.0943,7.096,7.2431,7.2562,7.2005,7.2166,7.3067,7.335,7.4211,7.3896,7.3336,7.3775,7.4025,7.4599,7.5331,7.5046,7.6029,7.5785,7.5711,7.6581,7.6979,7.7016,7.7794,7.8672,7.9039,7.9777,7.9537,7.9325,8.0307,8.0709,8.1069,8.0848,8.1037,8.1876,8.2963,8.2743,8.2714,8.3046,8.3114,8.3981,8.4379,8.503,8.5113,8.5846,8.571,8.5664,8.5858,8.679,8.8962,9.0443,9.0959,9.1129,9.1567,9.2018,9.3828,9.5151,9.8186,9.909,10.0199,10.1318,10.0498,10.0085,10.1251,10.2606,10.393,10.5133,10.6123,10.7071,10.6772,10.815,10.7796,10.8386,11.0328,10.9885,11.0012,10.9592,10.8782,10.8176,10.7103,10.4853,10.299,10.0685,9.8087,9.4826,9.1766,9.0668,8.8742,8.662,8.5021,8.3235,8.0127,7.7487,7.4679,7.1961,7.0041,6.8249,6.5351,6.2587,5.9885,5.7008,5.451,5.2531,4.9928,4.8325,4.618,4.433,4.3277,4.1343,4.0779,4.0283,3.9657,3.9338,3.8964,3.8803,3.9106,3.9108,3.9448,4.0082,4.0815,4.1727,4.3379,4.4426,4.6081,4.7527,4.8571,4.9349,5.1446,5.3658,5.5458,5.8169,6.0735,6.1975,6.3424,6.5343,6.5929,6.6217,6.6413,6.7104,6.7119,6.7544,6.8279,6.7959,6.7785,6.833,6.8717,6.8508,6.9242,6.9647,7.0369,7.1083,7.172,7.1997,7.2572,7.2644,7.281,7.2866,7.2519,7.346,7.346,7.3739,7.4158,7.4654,7.4593,7.4995,7.503,7.5334,7.6491,7.6886,7.7249,7.777,7.7903,7.8044,7.7386,7.69
"Atlanta, GA",4.9253,4.9543,5.0506,5.1604,5.2359,5.3604,5.4651,5.4911,5.5311,5.5377,5.5858,5.6431,5.6864,5.7626,5.8477,5.9013,5.9426,5.9915,6.0562,6.2271,6.306,6.3967,6.4627,6.5067,6.5021,6.5209,6.5234,6.483,6.5463,6.5507,6.5406,6.5419,6.5081,6.528,6.531,6.4737,6.4979,6.4816,6.4783,6.5093,6.5311,6.5504,6.586,6.6323,6.6371,6.6834,6.64,6.6601,6.7518,6.8402,6.8743,6.9261,6.929,6.9229,6.9314,6.8521,6.8546,6.851,6.9081,6.9492,6.9474,6.9047,6.889,6.8857,6.8694,6.8759,6.8603,6.9361,7.0788,7.1494,7.2008,7.247,7.3317,7.4061,7.5756,7.7113,7.8339,8.0449,8.2252,8.3802,8.4367,8.5001,8.5728,8.6917,8.8234,8.9396,8.9923,9.0797,9.212,9.2946,9.351,9.4751,9.6115,9.6918,9.7855,9.9029,10.1169,10.3261,10.5434,10.6743,10.8722,11.0026,11.0234,10.9593,10.8528,10.8348,10.8141,10.8134,10.8674,10.8299,10.6422,10.4779,10.2464,10.0251,9.9232,9.7628,9.571,9.3117,9.0751,8.7376,8.2507,8.0281,7.8021,7.5931,7.3575,7.0198,6.7348,6.5156,6.4869,6.5917,6.4904,6.3877,6.2501,6.1538,6.0428,5.9053,5.8446,5.7706,5.7611,5.6858,5.6296,5.4444,5.4902,5.4858,5.5529,5.5091,5.5631,5.6762,5.7442,5.7713,5.716,5.6381,5.5976,5.6643,5.6889,5.6102,5.5746,5.5402,5.5655,5.5495,5.4789,5.4133,5.3382,5.4815,5.5261,5.5286,5.5698,5.6811,5.8481,5.9295,5.9801,5.9766,6.0416,6.0432,6.143,6.2313,6.2163,6.3233,6.392,6.4853,6.5319,6.5285,6.5085,6.5895,6.5512,6.57,6.5858,6.5572,6.6219,6.5651,6.462,6.3694,6.2451,6.1327
"Boston, MA",5.4262,5.4511,5.5341,5.6217,5.6684,5.8155,5.8879,5.9149,5.9562,5.9486,5.9938,6.0549,6.1031,6.1264,6.14,6.1405,6.1084,6.0893,6.0692,6.1021,6.0834,6.0511,6.032,5.9667,5.943,5.9461,5.9303,5.8442,5.8412,5.8149,5.7187,5.6895,5.6979,5.7036,5.7116,5.6827,5.6554,5.6154,5.5543,5.5246,5.4598,5.3731,5.4273,5.4699,5.3683,5.338,5.2592,5.2128,5.2454,5.2896,5.3356,5.4383,5.5428,5.5532,5.5575,5.4961,5.5199,5.5187,5.5526,5.5864,5.6,5.5668,5.6195,5.6156,5.6691,5.7465,5.8954,6.1034,6.3134,6.5207,6.6129,6.7428,6.8076,6.935,7.0638,7.2953,7.389,7.6369,7.7808,7.8382,7.9219,7.9579,8.1259,8.2767,8.3614,8.3928,8.416,8.3729,8.377,8.1987,7.998,7.8438,7.6913,7.4973,7.3009,7.0606,6.877,6.7251,6.6673,6.5455,6.4837,6.4974,6.4325,6.4117,6.3898,6.4594,6.5371,6.6309,6.7922,6.9131,6.9142,6.914,6.8842,6.8464,6.88,6.8974,6.8254,6.7665,6.6871,6.5701,6.4615,6.4059,6.2495,6.1793,6.0704,5.9172,5.831,5.6815,5.6482,5.6179,5.5143,5.4569,5.3859,5.3241,5.2808,5.2143,5.1393,5.0859,5.1609,5.1451,5.1406,5.182,5.3076,5.392,5.4398,5.3928,5.4495,5.4582,5.5175,5.308,5.1389,5.0655,4.9975,5.1736,5.4117,5.4101,5.4295,5.4067,5.3638,5.2784,5.158,5.0549,5.1842,5.2913,5.2993,5.3027,5.3277,5.2712,5.3625,5.4431,5.4837,5.5218,5.6386,5.7181,5.8044,5.9148,5.9407,6.0222,6.0914,6.1899,6.2477,6.2357,6.2336,6.282,6.3308,6.3588,6.4889,6.5426,6.6211,6.6653,6.641,6.5942,6.5473,6.3221
