"RegionName","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02"
"United States",0.778,0.782,0.784,0.786,0.786,0.788,0.79,0.792,0.792,0.792,0.792,0.794,0.8,0.802,0.804,0.806,0.808,0.812,0.816,0.82,0.822,0.824,0.826,0.824,0.826,0.826,0.826,0.828,0.832,0.832,0.832,0.83,0.834,0.836,0.84,0.844,0.848,0.848,0.848,0.85
"New York, NY",,,,,,,,,,,,,,1.242,1.258,1.268,1.282,1.302,1.33,1.356,1.374,1.386,1.388,1.384,1.378,1.388,1.402,1.42,1.436,1.43,1.426,1.42,1.434,1.444,1.452,1.45,1.438,1.434,1.438,1.446
"Los Angeles, CA",1.492,1.494,1.496,1.494,1.5,1.498,1.496,1.496,1.5,1.504,1.506,1.508,1.51,1.51,1.51,1.51,1.512,1.518,1.526,1.536,1.54,1.542,1.54,1.542,1.546,1.55,1.556,1.562,1.57,1.572,1.574,1.572,1.574,1.576,1.582,1.588,1.592,1.596,1.602,1.606
"Chicago, IL",0.962,0.974,0.978,0.978,0.976,0.982,0.98,0.98,0.978,0.982,0.988,0.992,1.002,1.006,1.014,1.02,1.026,1.028,1.034,1.038,1.044,1.046,1.046,1.048,1.052,1.048,1.044,1.044,1.052,1.054,1.06,1.064,1.068,1.07,1.072,1.072,1.076,1.076,1.08,1.086
"Dallas-Fort Worth, TX",0.72,0.726,0.73,0.734,0.734,0.734,0.734,0.732,0.732,0.734,0.732,0.73,0.734,0.734,0.736,0.736,0.738,0.742,0.746,0.752,0.754,0.758,0.76,0.762,0.768,0.766,0.766,0.768,0.774,0.774,0.776,0.776,0.778,0.78,0.784,0.788,0.794,0.796,0.798,0.8
"Philadelphia, PA",0.872,0.874,0.872,0.872,0.872,0.876,0.88,0.884,0.884,0.886,0.89,0.898,0.906,0.912,0.918,0.922,0.926,0.93,0.932,0.936,0.936,0.936,0.938,0.936,0.934,0.934,0.936,0.938,0.944,0.944,0.944,0.944,0.948,0.952,0.954,0.954,0.95,0.95,0.954,0.956
"Houston, TX",0.736,0.732,0.73,0.73,0.732,0.732,0.73,0.728,0.724,0.722,0.718,0.716,0.716,0.718,0.722,0.724,0.728,0.732,0.738,0.744,0.748,0.752,0.758,0.762,0.764,0.766,0.768,0.77,0.774,0.776,0.778,0.78,0.784,0.79,0.794,0.8,0.806,0.812,0.816,0.818
"Washington, DC",1.212,1.218,1.224,1.234,1.238,1.246,1.248,1.25,1.248,1.248,1.254,1.264,1.28,1.288,1.292,1.294,1.294,1.298,1.306,1.316,1.324,1.33,1.33,1.33,1.334,1.336,1.338,1.342,1.344,1.342,1.342,1.338,1.342,1.346,1.348,1.346,1.344,1.34,1.338,1.336
"Miami-Fort Lauderdale, FL",1.06,1.058,1.06,1.066,1.076,1.08,1.082,1.082,1.084,1.086,1.09,1.094,1.1,1.104,1.108,1.11,1.118,1.126,1.134,1.142,1.146,1.15,1.152,1.152,1.156,1.16,1.162,1.166,1.17,1.172,1.174,1.178,1.184,1.192,1.198,1.204,1.21,1.218,1.224,1.232
"Atlanta, GA",0.644,0.644,0.644,0.642,0.644,0.644,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.648,0.648,0.65,0.652,0.652,0.654,0.656,0.656,0.658,0.658,0.656,0.654,0.654,0.656,0.658,0.662,0.662,0.662,0.662,0.662,0.664,0.668,0.672,0.674,0.676,0.678,0.678
"Boston, MA",1.17,1.174,1.172,1.166,1.162,1.16,1.162,1.164,1.168,1.166,1.164,1.16,1.16,1.164,1.172,1.18,1.186,1.198,1.206,1.212,1.214,1.218,1.226,1.23,1.232,1.232,1.234,1.24,1.246,1.244,1.24,1.238,1.24,1.242,1.246,1.254,1.258,1.258,1.256,1.258
